norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note
1814,1965-101A,FR 1,LEO_450_800,62.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 62 kg,No propulsion info found across queried sources
1815,1965-101B,SCOUT X-4 R/B,LEO_450_800,33.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 33 kg,No propulsion info found across queried sources
1982,1966-008A,ESSA 1 (OT-3),LEO_450_800,138.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 138 kg,KeepTrack motor: ?
1983,1966-008B,DELTA 1 R/B,LEO_450_800,60.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 60 kg,No propulsion info found across queried sources
2125,1966-026A,OPS 0340,LEO_450_800,72.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 72 kg,KeepTrack motor: ?
2142,1966-031A,OAO 1,LEO_450_800,1769.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1769 kg,No propulsion info found across queried sources
2144,1966-031B,ATLAS AGENA D R/B,LEO_450_800,769.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 769 kg,No propulsion info found across queried sources
2176,1966-041A,OPS 0082 (TRANSIT 13),LEO_800_1000,51.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 51 kg,KeepTrack motor: ?
2180,1966-041B,SCOUT A R/B,LEO_800_1000,33.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 33 kg,No propulsion info found across queried sources
2418,1966-082A,OPS 6026 (DMSP 4A F1),LEO_450_800,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
2422,1966-082B,THOR BURNER 2 R/B,LEO_450_800,136.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 136 kg,No propulsion info found across queried sources
2621,1966-111C,OV1-10 R/B,LEO_450_800,465.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 465 kg,No propulsion info found across queried sources
2669,1967-010A,OPS 6073 (DMSP 4A F2),LEO_800_1000,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
2674,1967-011A,DIADEME 1,LEO_450_800,23.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 23 kg,No propulsion info found across queried sources
2741,1967-010B,THOR BURNER 2 R/B,LEO_800_1000,136.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 136 kg,No propulsion info found across queried sources
2801,1967-045A,COSMOS 158,LEO_450_800,800.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 800 kg,No propulsion info found across queried sources
2802,1967-045B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
2825,1967-053B,THOR AGENA D R/B,LEO_800_1000,600.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 600 kg,No propulsion info found across queried sources
2826,1967-053A,OPS 5712 (P/L 160),LEO_450_800,5.0,<10kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 5 kg,No propulsion info found across queried sources
2828,1967-053C,GGSE 4,LEO_800_1000,85.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 85 kg,KeepTrack motor: Ammonia cold gas microthrusters
2834,1967-053D,GGSE 5,LEO_800_1000,105.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 105 kg,KeepTrack motor: Ammonia cold gas microthrusters
2847,1967-053E,TIMATION 1,LEO_800_1000,39.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 39 kg,KeepTrack motor: ?
2872,1967-053F,SURCAL 159,LEO_800_1000,3.0,<10kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 3 kg,No propulsion info found across queried sources
2873,1967-053G,OPS 5712 (P/L 152),LEO_800_1000,52.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 52 kg,No propulsion info found across queried sources
2874,1967-053H,OPS 5712 (P/L 153),LEO_800_1000,77.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 77 kg,KeepTrack motor: Ammonia cold gas microthrusters
2920,1967-080A,OPS 7202 (DMSP 4A F3),LEO_800_1000,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
2940,1967-080B,THOR BURNER 2 R/B,LEO_800_1000,136.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 136 kg,No propulsion info found across queried sources
2980,1967-096A,OPS 1264 (DMSP 4A F4),LEO_450_800,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
2985,1967-096B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
3047,1967-116A,COSMOS 192,LEO_450_800,775.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 775 kg,No propulsion info found across queried sources
3048,1967-116B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
3081,1967-127A,COSMOS 198,LEO_800_1000,1140.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1140 kg,No propulsion info found across queried sources
3158,1968-023A,COSMOS 209,LEO_800_1000,1140.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1140 kg,No propulsion info found across queried sources
3229,1968-040A,COSMOS 220,LEO_450_800,775.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 775 kg,No propulsion info found across queried sources
3230,1968-040B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
3266,1968-042A,OPS 7869 (DMSP 4B F1),LEO_800_1000,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
3271,1968-042B,THOR BURNER 2 R/B,LEO_800_1000,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
3510,1968-092A,OPS 4078 (DMSP 4B F2),LEO_800_1000,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
3522,1968-092B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
3597,1968-110A,OAO 2,LEO_450_800,2018.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 2018 kg,No propulsion info found across queried sources
3598,1968-110B,ATLAS CENTAUR R/B,LEO_450_800,2000.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 2000 kg,No propulsion info found across queried sources
4047,1969-062A,OPS 1127 (DMSP 4B F3),LEO_800_1000,79.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 79 kg,KeepTrack motor: ?
4048,1969-062B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
4070,1969-070A,COSMOS 292,LEO_450_800,775.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 775 kg,No propulsion info found across queried sources
4071,1969-070B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4132,1969-082K,SOICAL (CONE),LEO_450_800,3.0,<10kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 3 kg,KeepTrack motor: ?
4138,1969-091A,COSMOS 304,LEO_450_800,795.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 795 kg,No propulsion info found across queried sources
4139,1969-091B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4168,1969-082H,TEMPSAT 2,LEO_800_1000,14.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 14 kg,KeepTrack motor: ?
4221,1969-097A,AZUR (GRS A),LEO_450_800,78.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 78 kg,No propulsion info found across queried sources
4237,1969-082E,OPS 7613 (P/L 4),LEO_800_1000,101.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 101 kg,KeepTrack motor: Ammonia cold gas microthrusters
4247,1969-082F,OPS 7613 (P/L 5),LEO_800_1000,102.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 102 kg,KeepTrack motor: Ammonia cold gas microthrusters
