norad_id,sat_name,propulsion_class,behavior,net_da_km,max_da_km,max_di_deg,n_flagged,n_transitions,flag_rate,burn_freq_per_day,monotone_decay,triggers,mean_sma_km,sub_tags
64111,STARLINK-34148,Electric_EP,PhasingManeuver,0.07,11.04,0.0003,2,35,0.057,0.095,False,da,6848.5,da_max=11.0km net=+0.1km
64113,STARLINK-33839,Electric_EP,DragMakeup,0.05,1.959,0.0002,2,39,0.051,0.095,False,da,6853.4,da_max=2.0km net=+0.1km
64117,STARLINK-34122,Electric_EP,PhasingManeuver,-4.43,12.626,0.0036,3,49,0.061,0.143,False,da+de,6851.5,da_max=12.6km net=-4.4km; Δe
64122,STARLINK-33991,Electric_EP,DragMakeup,-4.46,1.758,0.0006,2,45,0.044,0.095,False,da,6850.8,da_max=1.8km net=-4.5km
64146,STARLINK-34314,Electric_EP,DragMakeup,0.04,3.723,0.0096,4,48,0.083,0.19,False,da,6927.6,da_max=3.7km net=+0.0km
64147,STARLINK-33926,Electric_EP,DragMakeup,-0.0,1.08,0.0027,2,48,0.042,0.095,False,da,6927.6,da_max=1.1km net=-0.0km
64148,STARLINK-34213,Electric_EP,DragMakeup,0.02,3.177,0.0069,2,46,0.043,0.095,False,da,6927.5,da_max=3.2km net=+0.0km
64149,STARLINK-33924,Electric_EP,PhasingManeuver,0.01,5.001,0.0094,2,46,0.043,0.095,False,da,6927.5,da_max=5.0km net=+0.0km
64150,STARLINK-34209,Electric_EP,DragMakeup,-0.06,2.349,0.0066,2,34,0.059,0.095,False,da,6927.7,da_max=2.3km net=-0.1km
64152,STARLINK-34348,Electric_EP,DragMakeup,-0.01,1.12,0.0058,2,53,0.038,0.095,False,da,6927.7,da_max=1.1km net=-0.0km
64153,STARLINK-34345,Electric_EP,DragMakeup,0.09,3.158,0.0008,2,54,0.037,0.095,False,da,6927.6,da_max=3.2km net=+0.1km
64155,STARLINK-34346,Electric_EP,OrbitRaising,9.72,9.863,0.0085,3,48,0.062,0.143,False,da+de,6927.2,da_max=9.9km net=+9.7km; Δe
64156,STARLINK-34277,Electric_EP,DragMakeup,-0.0,1.75,0.0079,4,45,0.089,0.19,False,da+de,6927.7,da_max=1.8km net=-0.0km; Δe
64157,STARLINK-34343,Electric_EP,PhasingManeuver,-1.4,8.765,0.0024,2,45,0.044,0.095,False,da+de,6935.9,da_max=8.8km net=-1.4km; Δe
64158,STARLINK-34166,Electric_EP,DragMakeup,0.09,2.493,0.0025,2,46,0.043,0.095,False,da,6927.6,da_max=2.5km net=+0.1km
64159,STARLINK-34344,Electric_EP,DragMakeup,0.01,1.252,0.0097,2,34,0.059,0.095,False,da,6927.6,da_max=1.3km net=+0.0km
64160,STARLINK-34339,Electric_EP,DragMakeup,-0.42,1.144,0.0041,1,51,0.02,0.048,False,da,6927.6,da_max=1.1km net=-0.4km
64161,STARLINK-34341,Electric_EP,DragMakeup,0.0,1.994,0.0088,3,44,0.068,0.143,False,da,6927.6,da_max=2.0km net=+0.0km
64163,STARLINK-34340,Electric_EP,DragMakeup,0.03,4.406,0.0114,5,47,0.106,0.238,False,da,6927.7,da_max=4.4km net=+0.0km
64166,STARLINK-34313,Electric_EP,DragMakeup,0.03,3.563,0.008,4,54,0.074,0.19,False,da,6927.5,da_max=3.6km net=+0.0km
64169,STARLINK-34175,Electric_EP,DragMakeup,0.0,1.336,0.001,1,50,0.02,0.048,False,da,6927.6,da_max=1.3km net=+0.0km
64175,STARLINK-34231,Electric_EP,DragMakeup,-2.76,7.15,0.0013,4,36,0.111,0.19,False,da,6849.2,da_max=7.2km net=-2.8km
64179,STARLINK-34194,Electric_EP,OrbitLowering,-10.9,8.523,0.0032,2,41,0.049,0.095,False,da,6841.2,da_max=8.5km net=-10.9km
64182,STARLINK-34131,Electric_EP,DragMakeup,0.15,2.782,0.0008,2,37,0.054,0.095,False,da,6853.2,da_max=2.8km net=+0.2km
64185,STARLINK-34063,Electric_EP,PhasingManeuver,-0.01,6.092,0.0009,2,34,0.059,0.095,False,da+de,6849.0,da_max=6.1km net=-0.0km; Δe
64187,STARLINK-33934,Electric_EP,PhasingManeuver,0.1,5.054,0.0002,3,44,0.068,0.143,False,da,6853.3,da_max=5.1km net=+0.1km
64193,STARLINK-34245,Electric_EP,OrbitLowering,-12.42,6.501,0.0025,2,46,0.043,0.095,False,da,6847.5,da_max=6.5km net=-12.4km
64196,STARLINK-34173,Electric_EP,DragMakeup,-4.43,2.341,0.0005,2,46,0.043,0.095,False,da,6849.5,da_max=2.3km net=-4.4km
64212,STARLINK-34284,Electric_EP,DragMakeup,0.06,3.833,0.0007,3,42,0.071,0.143,False,da,6853.3,da_max=3.8km net=+0.1km
64236,STARLINK-11691,Electric_EP,DragMakeup,0.11,1.058,0.0009,1,32,0.031,0.048,False,da,6734.5,da_max=1.1km net=+0.1km
64242,STARLINK-11690,Electric_EP,DragMakeup,0.82,1.044,0.0107,1,35,0.029,0.048,False,da,6734.5,da_max=1.0km net=+0.8km
64261,STARLINK-34297,Electric_EP,DragMakeup,-0.12,1.853,0.0017,4,35,0.114,0.19,False,da,6817.7,da_max=1.9km net=-0.1km
64276,STARLINK-34350,Electric_EP,Stationkeeping,0.05,9.474,0.0015,8,37,0.216,0.381,False,da+de,6817.7,da_max=9.5km net=+0.0km; Δe
64291,STARLINK-34448,Electric_EP,DragMakeup,0.01,6.17,0.0014,4,42,0.095,0.19,False,da,6950.2,da_max=6.2km net=+0.0km
64292,STARLINK-34362,Electric_EP,DragMakeup,0.02,7.579,0.001,5,54,0.093,0.238,False,da+de,6950.0,da_max=7.6km net=+0.0km; Δe
64294,STARLINK-34388,Electric_EP,DragMakeup,-0.81,7.62,0.0014,7,50,0.14,0.333,False,da,6950.6,da_max=7.6km net=-0.8km
64295,STARLINK-34424,Electric_EP,Stationkeeping,-0.09,9.011,0.0064,11,55,0.2,0.524,False,da,6950.4,da_max=9.0km net=-0.1km
64297,STARLINK-34369,Electric_EP,DragMakeup,0.04,4.32,0.0004,5,54,0.093,0.238,False,da,6950.3,da_max=4.3km net=+0.0km
64299,STARLINK-34378,Electric_EP,DragMakeup,0.01,6.08,0.0034,4,52,0.077,0.19,False,da,6950.3,da_max=6.1km net=+0.0km
64300,STARLINK-34376,Electric_EP,DragMakeup,-0.02,7.713,0.0019,5,52,0.096,0.238,False,da+de,6950.2,da_max=7.7km net=-0.0km; Δe
64301,STARLINK-34372,Electric_EP,Stationkeeping,-0.07,4.934,0.0036,9,51,0.176,0.429,False,da+de,6950.3,da_max=4.9km net=-0.1km; Δe
64304,STARLINK-34360,Electric_EP,DragMakeup,0.04,4.761,0.0007,2,55,0.036,0.095,False,da,6950.3,da_max=4.8km net=+0.0km
64306,STARLINK-34355,Electric_EP,DragMakeup,0.09,5.648,0.0012,8,54,0.148,0.381,False,da+de,6950.4,da_max=5.6km net=+0.1km; Δe
64307,STARLINK-34380,Electric_EP,DragMakeup,0.03,5.157,0.0009,5,49,0.102,0.238,False,da,6950.1,da_max=5.2km net=+0.0km
