sat_name,inc_family,maneuver_class,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,u_deg,da_km,de,di_deg,draan_raw_deg,draan_j2_deg,draan_res_deg,du_deg,da_severity,dv_est_ms,flagged,flag_reason
STARLINK-36385,SSO,mixed,2026-05-02 09:41:42+00:00,2026-05-02 17:57:42+00:00,8.27,6831.201,453.06,0.000647,97.1713,234.0436,91.8308,18.128,0.000328,-0.01042,0.3351,0.3352,-0.0001,100.359,large,10.135,True,da=+18.13km[large]
STARLINK-36795,SSO,mixed,2026-05-02 17:36:42+00:00,2026-05-03 01:52:42+00:00,8.27,6831.961,453.82,0.002944,97.177,310.7618,258.4843,18.0702,-0.001677,-0.01212,0.3393,0.3353,0.004,100.0614,large,10.101,True,da=+18.07km[large] | de=-0.00168
STARLINK-36385,SSO,mixed,2026-05-04 09:50:42+00:00,2026-05-04 21:08:42+00:00,11.3,6850.157,472.02,0.001303,97.1579,236.0201,359.7523,-18.1055,-0.000557,0.0093,0.459,0.4577,0.0013,77.6085,large,10.081,True,da=-18.11km[large]
STARLINK-37460,SSO,phasing,2026-05-04 09:32:42+00:00,2026-05-04 21:15:42+00:00,11.72,6710.269,332.13,0.003059,97.215,329.66,280.1972,17.504,-0.001513,-0.0082,0.5127,0.5089,0.0038,-113.3188,large,10.052,True,da=+17.50km[large] | de=-0.00151
STARLINK-36708,SSO,phasing,2026-05-03 17:43:42+00:00,2026-05-04 09:45:42+00:00,16.03,6849.908,471.77,0.001086,97.1605,234.4818,353.2516,-18.0408,-0.000405,0.00837,0.658,0.6497,0.0082,85.6208,large,10.045,True,da=-18.04km[large]
STARLINK-36382,SSO,mixed,2026-05-05 23:08:42+00:00,2026-05-06 01:50:42+00:00,2.7,6829.619,451.48,0.000698,97.1802,313.956,102.3036,17.8955,0.000652,-0.00956,0.1069,0.1097,-0.0028,-99.1965,large,10.009,True,da=+17.90km[large]
STARLINK-37213,SSO,raising,2026-05-04 21:14:42+00:00,2026-05-05 01:39:42+00:00,4.42,6782.734,404.6,0.002928,97.2784,356.0984,255.6521,17.6658,-0.002019,-0.01068,0.1849,0.1863,-0.0015,-53.7806,large,9.983,True,da=+17.67km[large] | de=-0.00202
STARLINK-36708,SSO,phasing,2026-05-04 09:45:42+00:00,2026-05-04 21:07:42+00:00,11.37,6831.867,453.73,0.00068,97.1689,235.1398,78.8724,17.7796,0.000734,-0.01003,0.467,0.4606,0.0064,92.9729,large,9.939,True,da=+17.78km[large]
STARLINK-37442,SSO,mixed,2026-05-05 01:36:42+00:00,2026-05-05 09:42:42+00:00,8.1,6727.104,348.97,0.001609,97.2028,330.3833,164.0055,-17.3584,0.001491,0.01522,0.3522,0.3519,0.0003,112.4043,large,9.931,True,da=-17.36km[large] | de=+0.00149
STARLINK-36718,SSO,phasing,2026-05-03 17:46:42+00:00,2026-05-04 09:47:42+00:00,16.02,6849.854,471.72,0.001299,97.1589,235.3214,176.9048,-17.7109,0.001592,0.00971,0.6561,0.6489,0.0072,81.6193,large,9.862,True,da=-17.71km[large] | de=+0.00159
STARLINK-36811,SSO,phasing,2026-05-04 09:46:42+00:00,2026-05-04 21:07:42+00:00,11.35,6832.02,453.88,0.002968,97.1789,312.4787,281.4074,17.6033,-0.001433,-0.00739,0.4626,0.4606,0.0019,88.8609,large,9.84,True,da=+17.60km[large] | de=-0.00143
