norad_id,sat_name,center_epoch,window_start,window_end,label_binary,label_severity,label_maneuver_class,inc_family,da_km_meme,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,f107,da_1d_km,di_1d_deg,de_1d,draan_res_1d_deg,da_rate_1d_km_h,di_rate_1d_deg_h,draan_res_rate_1d_deg_h,da_3d_km,di_3d_deg,de_3d,draan_res_3d_deg,da_rate_3d_km_h,di_rate_3d_deg_h,draan_res_rate_3d_deg_h,da_7d_km,di_7d_deg,de_7d,draan_res_7d_deg,da_rate_7d_km_h,di_rate_7d_deg_h,draan_res_rate_7d_deg_h,da_std_7d,da_abs_max_7d,da_abs_mean_7d,n_tle_7d,dv_intrack_1d_ms,dv_crosstrack_1d_ms
64037,STARLINK-34008,2026-05-03T18:26:42+00:00,2026-04-26T18:26:42+00:00,2026-05-03T18:26:42+00:00,1,small,phasing,mid-inc,-1.9383,meme_ephemeris,v1.0-meme-gt-plan-a,572.01,70.0048,0.000133,2,144.5,-0.0136,0.0019,-5.6e-05,-1.345,-0.00061,8.6e-05,-0.060748,-0.0135,0.0031,-8.7e-05,-1.3443,-0.00019,4.4e-05,-0.019147,-0.0291,0.0023,-8.1e-05,-1.3384,-0.00017,1.4e-05,-0.008046,0.0103,0.038,0.006,26,0.007,167.059
64037,STARLINK-34008,2026-05-04T10:17:42+00:00,2026-04-27T10:17:42+00:00,2026-05-04T10:17:42+00:00,1,medium,phasing,mid-inc,6.9887,meme_ephemeris,v1.0-meme-gt-plan-a,571.99,70.0048,0.000112,2,139.6,-0.0502,0.0019,-6e-05,0.0024,-0.00187,7.1e-05,8.9e-05,-0.0311,0.0033,-0.000108,0.0026,-0.00042,4.4e-05,3.5e-05,-0.0572,0.0022,-0.000107,0.0073,-0.00036,1.4e-05,4.6e-05,0.0385,0.1526,0.0188,25,0.027,0.39
64037,STARLINK-34008,2026-05-04T20:34:42+00:00,2026-04-27T20:34:42+00:00,2026-05-04T20:34:42+00:00,1,medium,phasing,mid-inc,-7.7527,meme_ephemeris,v1.0-meme-gt-plan-a,571.95,70.0043,0.000137,2,139.6,-0.0658,-0.0005,4e-06,0.0006,-0.00271,-2.1e-05,2.7e-05,-0.0891,0.0027,-7.4e-05,0.0016,-0.00123,3.7e-05,2.3e-05,-0.105,0.0018,-7.5e-05,0.0078,-0.00063,1.1e-05,4.7e-05,0.0459,0.1526,0.0252,26,0.036,0.1
64037,STARLINK-34008,2026-05-05T02:21:42+00:00,2026-04-28T02:21:42+00:00,2026-05-05T02:21:42+00:00,1,small,phasing,mid-inc,1.3443,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0022,0.000181,2,126.2,-0.1005,-0.0023,6.1e-05,0.0003,-0.00398,-9.1e-05,1.1e-05,0.0031,0.0006,-3.4e-05,0.0015,4e-05,8e-06,1.9e-05,0.0046,-0.0003,-3.2e-05,0.0074,3e-05,-2e-06,4.6e-05,0.0511,0.1526,0.0296,25,0.055,0.306
64037,STARLINK-34008,2026-05-05T10:18:42+00:00,2026-04-28T10:18:42+00:00,2026-05-05T10:18:42+00:00,1,small,phasing,mid-inc,-1.3719,meme_ephemeris,v1.0-meme-gt-plan-a,570.53,70.002,0.000304,2,126.2,-1.4585,-0.0028,0.000193,-0.0002,-0.05451,-0.000105,-8e-06,-1.5056,0.0006,9.1e-05,0.0004,-0.02012,8e-06,5e-06,-1.5098,-0.0005,7.8e-05,0.0058,-0.00945,-3e-06,3.6e-05,0.3061,1.5106,0.0924,25,0.795,0.371
64037,STARLINK-34008,2026-05-05T18:25:42+00:00,2026-04-28T18:25:42+00:00,2026-05-05T18:25:42+00:00,1,medium,phasing,mid-inc,6.2283,meme_ephemeris,v1.0-meme-gt-plan-a,574.32,70.0009,0.000253,2,126.2,2.3709,-0.0034,0.000116,0.0028,0.10021,-0.000144,0.000119,2.2915,-0.002,6.4e-05,0.0058,0.03268,-2.9e-05,8.2e-05,2.2732,-0.0016,2.7e-05,0.0094,0.01354,-1e-05,5.6e-05,0.7956,3.783,0.2308,27,1.291,0.568
64037,STARLINK-34008,2026-05-05T22:34:42+00:00,2026-04-28T22:34:42+00:00,2026-05-05T22:34:42+00:00,1,medium,phasing,mid-inc,-5.9776,meme_ephemeris,v1.0-meme-gt-plan-a,574.32,70.0009,0.000253,2,126.2,2.2724,-0.0013,7.2e-05,0.0028,0.09879,-5.7e-05,0.000124,2.2535,-0.0018,6.9e-05,0.0053,0.03101,-2.5e-05,7.4e-05,2.2808,-0.0015,3e-05,0.0092,0.01364,-9e-06,5.5e-05,0.8111,3.783,0.2398,26,1.237,0.388
64037,STARLINK-34008,2026-05-06T02:22:42+00:00,2026-04-29T02:22:42+00:00,2026-05-06T02:22:42+00:00,1,small,phasing,mid-inc,1.8588,meme_ephemeris,v1.0-meme-gt-plan-a,572.03,70.001,0.000208,2,119.9,-0.0179,-0.0012,2.7e-05,-1.1764,-0.00067,-4.5e-05,-0.043891,-0.0368,-0.0017,2.4e-05,-1.1739,-0.00048,-2.2e-05,-0.01535,-0.0069,-0.001,-1.7e-05,-1.1713,-5e-05,-7e-06,-0.007717,0.8452,3.783,0.2605,24,0.01,146.114
64032,STARLINK-34019,2026-05-02T10:11:42+00:00,2026-04-25T10:11:42+00:00,2026-05-02T10:11:42+00:00,1,medium,mixed,mid-inc,-6.5375,meme_ephemeris,v1.0-meme-gt-plan-a,572.05,70.0014,0.000259,2,163.0,-0.0143,-0.0001,-9e-06,-1.5149,-0.00056,-4e-06,-0.058844,0.0501,-0.0007,7e-06,-1.5117,0.00068,-9e-06,-0.02048,0.0148,-0.0007,-3e-06,-1.5066,9e-05,-4e-06,-0.009491,0.0115,0.0395,0.0077,26,0.008,188.158
64032,STARLINK-34019,2026-05-02T18:18:42+00:00,2026-04-25T18:18:42+00:00,2026-05-02T18:18:42+00:00,1,small,mixed,mid-inc,3.9627,meme_ephemeris,v1.0-meme-gt-plan-a,572.05,70.0013,0.000267,2,163.0,-0.0135,-0.0002,1.5e-05,-0.6723,-0.00064,-1e-05,-0.031948,0.0742,-0.0009,1.7e-05,-0.6694,0.00107,-1.3e-05,-0.009686,0.0197,-0.0008,5e-06,-0.6632,0.00012,-5e-06,-0.003975,0.0126,0.0395,0.0084,27,0.007,83.503
64032,STARLINK-34019,2026-05-03T02:15:42+00:00,2026-04-26T02:15:42+00:00,2026-05-03T02:15:42+00:00,1,small,mixed,mid-inc,4.9402,meme_ephemeris,v1.0-meme-gt-plan-a,572.05,70.0015,0.00026,2,144.5,-0.0271,0.0,-3e-06,0.0003,-0.00105,0.0,1.2e-05,0.0652,-0.0004,-1e-06,0.0027,0.00088,-5e-06,3.6e-05,0.0269,-0.0013,2.1e-05,0.0086,0.00017,-8e-06,5.5e-05,0.0122,0.0395,0.008,28,0.015,0.037
64032,STARLINK-34019,2026-05-03T10:09:42+00:00,2026-04-26T10:09:42+00:00,2026-05-03T10:09:42+00:00,1,large,mixed,mid-inc,-15.1632,meme_ephemeris,v1.0-meme-gt-plan-a,572.03,70.0017,0.000249,2,144.5,-0.0165,0.0003,-1.1e-05,0.0001,-0.00086,1.6e-05,4e-06,0.0096,-0.0018,5.2e-05,0.0029,0.00013,-2.4e-05,3.9e-05,0.0108,-0.0011,1e-05,0.0085,7e-05,-7e-06,5.2e-05,0.0124,0.0395,0.0083,29,0.009,0.042
64032,STARLINK-34019,2026-05-03T18:27:42+00:00,2026-04-26T18:27:42+00:00,2026-05-03T18:27:42+00:00,1,medium,mixed,mid-inc,8.9742,meme_ephemeris,v1.0-meme-gt-plan-a,572.03,70.001,0.000251,2,144.5,-0.0197,-0.0003,-1.5e-05,-0.0009,-0.00093,-1.4e-05,-4.4e-05,-0.0022,-0.0009,2.1e-05,0.0021,-3e-05,-1.2e-05,2.8e-05,0.0071,-0.0016,4e-06,0.0086,4e-05,-1e-05,5.1e-05,0.0121,0.0395,0.0081,30,0.011,0.119
64032,STARLINK-34019,2026-05-04T10:19:42+00:00,2026-04-27T10:19:42+00:00,2026-05-04T10:19:42+00:00,1,medium,mixed,mid-inc,6.1815,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0028,0.0002,2,139.6,0.0128,0.0011,-4.9e-05,0.0011,0.00047,4e-05,4.1e-05,-0.0181,0.0013,-6.8e-05,0.0021,-0.00024,1.8e-05,2.9e-05,0.0081,0.0007,-5.3e-05,0.0078,5e-05,4e-06,4.9e-05,0.0126,0.0395,0.0085,30,0.007,0.2
64032,STARLINK-34019,2026-05-04T20:36:42+00:00,2026-04-27T20:36:42+00:00,2026-05-04T20:36:42+00:00,1,medium,mixed,mid-inc,-8.133,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0024,0.000206,2,139.6,0.0064,0.001,-3.9e-05,0.0009,0.00028,4.3e-05,3.8e-05,-0.0272,0.0009,-4.5e-05,0.0023,-0.00038,1.3e-05,3.3e-05,-0.0016,0.0003,-4.7e-05,0.0083,-1e-05,2e-06,5e-05,0.0126,0.0395,0.0085,30,0.003,0.173
64032,STARLINK-34019,2026-05-05T02:22:42+00:00,2026-04-28T02:22:42+00:00,2026-05-05T02:22:42+00:00,1,small,mixed,mid-inc,4.9184,meme_ephemeris,v1.0-meme-gt-plan-a,572.05,70.0008,0.000256,2,126.2,0.0253,-0.0006,8e-06,0.0019,0.00098,-2.3e-05,7.5e-05,-0.0226,-0.0007,-8e-06,0.0035,-0.00031,-9e-06,4.7e-05,0.0149,-0.0013,2e-06,0.008,0.0001,-9e-06,5.3e-05,0.013,0.0395,0.0092,29,0.014,0.249
64032,STARLINK-34019,2026-05-05T10:18:42+00:00,2026-04-28T10:18:42+00:00,2026-05-05T10:18:42+00:00,1,medium,mixed,mid-inc,-7.7537,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0009,0.000252,2,126.2,-0.0072,-0.0019,5.3e-05,-1.8502,-0.00026,-6.9e-05,-0.067616,-0.011,-0.0005,-7e-06,-1.8489,-0.00016,-7e-06,-0.027425,-0.0002,-0.0012,-1e-06,-1.8443,-0.0,-8e-06,-0.011618,0.013,0.0395,0.0092,29,0.004,229.803
64032,STARLINK-34019,2026-05-05T18:26:42+00:00,2026-04-28T18:26:42+00:00,2026-05-05T18:26:42+00:00,1,medium,mixed,mid-inc,-5.2396,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0009,0.000252,2,126.2,-0.0022,-0.0015,4.6e-05,0.0017,-9e-05,-6.2e-05,6.9e-05,-0.0159,-0.0004,-1.4e-05,0.0026,-0.00023,-6e-06,3.8e-05,-0.0002,-0.0012,-1e-06,0.0085,-0.0,-7e-06,5.1e-05,0.0131,0.0395,0.0094,30,0.001,0.29
64032,STARLINK-34019,2026-05-05T22:36:42+00:00,2026-04-28T22:36:42+00:00,2026-05-05T22:36:42+00:00,1,medium,mixed,mid-inc,9.1724,meme_ephemeris,v1.0-meme-gt-plan-a,572.04,70.0011,0.000242,2,126.2,-0.0104,0.0003,-1.4e-05,-0.3361,-0.00047,1.4e-05,-0.015251,-0.0113,-0.0002,-2.5e-05,-0.334,-0.00015,-3e-06,-0.004556,0.0135,-0.0009,-8e-06,-0.328,8e-05,-5e-06,-0.001954,0.013,0.0395,0.0092,30,0.006,41.745
