norad_id,sat_name,propulsion_class,mass_kg,label_binary,label_mw,behavior,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,bstar_mean,bstar_std,net_da_km,max_da_km,da_std,da_abs_mean,max_di_deg,max_draan_res_deg,neg_streak,total_drop_km,monotone_decay,n_transitions,n_flagged,flag_rate,burn_freq_per_day,n_windows_flagged,n_tle,mean_tle_gap_h,max_tle_gap_h,dv_net_ms
64231,GLOBAL-32,,138.0,1,1,UnknownFP,tle_annotation_v1,v1.0-tle-annotation-plan-b,448.29,58.9941,0.001156,2,0.0002903,9.591e-05,3.301,0.968,0.1857,0.082,0.0201,0.0061,0,0.0,0,80,1,0.0125,0.0333,0,81,8.48,32.74,1.847
64288,CZ-6A R/B,,6000.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,914.42,86.512,0.010193,3,5.46e-05,1.354e-05,-0.016,0.001,0.0001,0.0002,0.0002,0.0004,0,0.016,0,102,0,0.0,0.0,0,103,6.69,24.12,0.008
64340,QPS-SAR-11 YAMATSUMI,,120.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,563.21,42.0073,0.000996,0,0.0003232,9.734e-05,-0.72,0.029,0.0069,0.0077,0.0003,0.0045,0,0.72,0,94,0,0.0,0.0,0,95,7.2,25.55,0.393
64393,ZHANGHENG 1-02,,730.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,502.9,97.3531,0.001134,3,4.28e-05,6.422e-05,0.003,0.022,0.0052,0.0032,0.0013,0.0049,0,0.0,0,81,0,0.0,0.0,0,82,8.36,88.42,0.002
64500,KUIPER-00039,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.52,51.9033,9.2e-05,1,0.000227,0.00031187,0.014,0.05,0.0146,0.0092,0.0079,0.0044,0,0.0,0,86,0,0.0,0.0,0,87,7.95,30.79,0.007
64501,KUIPER-00040,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.83,51.8996,0.000149,1,0.000325,0.00095887,-0.314,0.148,0.0348,0.0197,0.0108,0.0031,0,0.314,0,74,0,0.0,0.0,0,75,9.18,27.55,0.169
64502,KUIPER-00041,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.63,51.9015,7.2e-05,1,0.0003263,0.00028243,-0.101,0.094,0.0166,0.0089,0.0025,0.0049,0,0.101,0,97,0,0.0,0.0,0,98,7.03,32.41,0.054
64503,KUIPER-00042,Electric_EP,490.0,1,1,OrbitRaising,tle_annotation_v1,v1.0-tle-annotation-plan-b,623.74,51.9,0.000127,1,-0.0008095,0.0043916,5.794,1.272,0.1985,0.0894,0.0044,0.0043,0,0.0,0,94,3,0.0319,0.1,1,95,7.25,24.31,3.122
64504,KUIPER-00043,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.5,51.9024,6.3e-05,1,0.0002802,0.00032574,0.016,0.08,0.0207,0.0126,0.0042,0.0065,0,0.0,0,80,0,0.0,0.0,0,81,8.29,40.52,0.009
64505,KUIPER-00044,Electric_EP,490.0,1,1,OrbitRaising,tle_annotation_v1,v1.0-tle-annotation-plan-b,621.02,51.9005,0.00045,1,-0.0005129,0.00242214,8.523,1.32,0.2609,0.1375,0.0046,0.0049,1,0.0,0,89,9,0.1011,0.3,1,90,7.64,34.03,4.595
64506,KUIPER-00046,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.54,51.8998,8.8e-05,1,0.0002236,0.00042445,0.001,0.128,0.0249,0.0134,0.0023,0.0043,0,0.0,0,80,0,0.0,0.0,0,81,8.53,29.17,0.001
64507,KUIPER-00047,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.53,51.9009,6.8e-05,1,0.00023,0.00064024,-0.014,0.101,0.0277,0.0145,0.0068,0.0074,0,0.014,0,84,0,0.0,0.0,0,85,8.12,47.0,0.008
64508,KUIPER-00048,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.52,51.8998,6e-05,1,0.0002284,0.00026637,0.02,0.082,0.0178,0.0102,0.002,0.0018,0,0.0,0,69,0,0.0,0.0,0,70,9.82,63.21,0.011
64509,KUIPER-00049,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.56,51.9022,7.9e-05,1,0.0002872,0.00020172,-0.03,0.081,0.0166,0.0098,0.0031,0.0028,0,0.03,0,80,0,0.0,0.0,0,81,8.43,34.04,0.016
64510,KUIPER-00050,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.48,51.9011,6.3e-05,1,0.0002099,0.00024829,0.028,0.049,0.013,0.0088,0.0028,0.004,0,0.0,0,77,0,0.0,0.0,0,78,8.74,47.0,0.015
64511,KUIPER-00051,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,640.37,51.9016,0.000117,1,0.0011262,0.00232927,-9.791,4.823,0.5691,0.1204,0.0015,0.0213,2,9.791,0,84,5,0.0595,0.1667,1,85,8.15,71.41,5.257
64513,KUIPER-00053,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,624.21,51.9019,0.000201,1,0.0002779,5.108e-05,-0.151,0.01,0.0029,0.0023,0.0014,0.0011,0,0.151,0,87,0,0.0,0.0,0,88,7.83,30.76,0.081
64514,KUIPER-00054,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.57,51.8996,7.3e-05,1,0.0003237,0.00071259,0.013,0.372,0.072,0.0264,0.0034,0.0058,1,0.0,0,80,0,0.0,0.0,0,81,8.51,29.17,0.007
64515,KUIPER-00055,Electric_EP,490.0,1,1,,tle_annotation_v1,v1.0-tle-annotation-plan-b,633.79,51.9017,0.000124,1,0.0017856,0.00394985,-4.171,2.452,0.3788,0.168,0.0031,0.0104,4,4.171,0,83,11,0.1325,0.3667,3,84,7.19,50.25,2.242
64516,KUIPER-00056,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.52,51.904,6.8e-05,1,0.0002458,0.00023772,0.026,0.072,0.0134,0.0083,0.0021,0.0026,0,0.0,0,82,0,0.0,0.0,0,83,8.36,37.28,0.014
64517,KUIPER-00057,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.47,51.9007,7.7e-05,1,0.0002423,0.00025986,0.059,0.056,0.014,0.0083,0.0065,0.0038,0,0.0,0,82,0,0.0,0.0,0,83,8.3,30.79,0.032
64518,KUIPER-00058,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.56,51.9028,7e-05,1,0.0002481,0.00023278,-0.025,0.049,0.0117,0.0076,0.0058,0.0061,0,0.025,0,89,0,0.0,0.0,0,90,7.58,40.52,0.014
64519,KUIPER-00059,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.55,51.9013,8.9e-05,1,0.0003199,0.00033818,0.005,0.102,0.0207,0.0121,0.0051,0.004,0,0.0,0,82,0,0.0,0.0,0,83,8.34,29.17,0.003
64520,KUIPER-00060,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.32,51.9049,0.000107,1,0.0002159,0.00065064,0.225,0.145,0.0337,0.0172,0.008,0.0048,0,0.0,0,85,0,0.0,0.0,0,86,8.05,34.04,0.121
64521,KUIPER-00061,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.11,51.9028,0.000109,1,0.0001121,0.00078141,0.527,0.261,0.0468,0.0208,0.0052,0.005,0,0.0,0,84,0,0.0,0.0,0,85,8.05,42.14,0.284
64522,KUIPER-00062,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.54,51.8985,6.9e-05,1,0.0002843,0.00027637,-0.024,0.1,0.022,0.0123,0.0052,0.0057,0,0.024,0,79,0,0.0,0.0,0,80,8.64,34.04,0.013
64523,KUIPER-00063,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.56,51.905,8.2e-05,1,0.0001816,0.00034766,-0.032,0.125,0.0236,0.0127,0.0056,0.0079,0,0.032,0,84,0,0.0,0.0,0,85,8.1,27.55,0.017
64524,KUIPER-00064,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.54,51.9047,6.7e-05,1,0.0003113,0.00041248,-0.02,0.186,0.0298,0.0128,0.0025,0.0021,0,0.02,0,77,0,0.0,0.0,0,78,8.84,27.55,0.011
64525,KUIPER-00065,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.57,51.9064,7.4e-05,1,0.0001833,0.00025022,-0.038,0.037,0.0114,0.0076,0.0037,0.0026,0,0.038,0,84,0,0.0,0.0,0,85,7.89,29.17,0.02
64526,KUIPER-00066,Electric_EP,490.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,629.56,51.9017,4.7e-05,1,0.0002371,0.00023415,-0.019,0.05,0.011,0.0071,0.0025,0.0026,0,0.019,0,72,0,0.0,0.0,0,73,9.32,40.52,0.01
64528,GOOD ANCESTOR KILAKILA,,2.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,495.8,97.458,0.00047,3,0.0002958,8.382e-05,-1.18,0.059,0.0112,0.0128,0.0003,0.0017,0,1.18,0,92,0,0.0,0.0,0,93,7.3,23.64,0.654
64529,GHGSAT-C12,,15.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,505.91,97.4691,0.000445,3,0.0001393,3.686e-05,-0.505,0.017,0.0032,0.0041,0.0005,0.0015,0,0.505,0,123,0,0.0,0.0,0,124,5.55,23.7,0.279
64530,DUTHSAT-2,,6.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,488.37,97.4566,0.000445,3,0.0004264,0.00011914,-1.808,0.066,0.0163,0.0194,0.0004,0.0018,0,1.808,0,93,0,0.0,0.0,0,94,7.21,23.6,1.003
64531,RIDUSAT-1,,1.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,490.12,97.4664,0.000369,3,0.0003856,0.00010974,-1.631,0.056,0.0096,0.0132,0.0005,0.0024,0,1.631,0,124,0,0.0,0.0,0,125,5.5,18.89,0.904
64532,OBJECT E,,5.4,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,490.1,97.468,0.000366,3,0.0003981,0.0001114,-1.601,0.062,0.0145,0.0162,0.0004,0.0018,0,1.601,0,99,0,0.0,0.0,0,100,6.77,23.61,0.888
64533,TPA-1,,3.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,502.51,97.4633,0.000518,3,0.0001405,3.681e-05,-0.506,0.019,0.0047,0.0055,0.0004,0.0016,0,0.506,0,92,0,0.0,0.0,0,93,7.29,23.68,0.28
64534,CONNECTA IOT-9,,10.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,505.46,97.4704,0.000476,3,0.0001324,3.62e-05,0.437,0.268,0.0462,0.0143,0.0046,0.0064,0,0.0,0,91,0,0.0,0.0,0,92,7.43,48.98,0.242
64535,UND ROADS 1,,5.4,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,500.01,97.462,0.000413,3,0.0002369,6.453e-05,-0.886,0.04,0.0082,0.0093,0.0004,0.0019,0,0.886,0,95,0,0.0,0.0,0,96,7.11,23.67,0.49
64536,FOSSASAT2E21,,4.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,506.68,97.4593,0.000408,3,0.0001163,3.578e-05,-0.398,0.021,0.0044,0.0048,0.0004,0.0019,0,0.398,0,84,0,0.0,0.0,0,85,7.99,30.02,0.22
64537,OTTER PUP 2,,40.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,498.16,97.4794,0.000121,3,0.0003198,0.0002752,-0.448,0.089,0.0278,0.0173,0.0074,0.009,0,0.448,0,80,0,0.0,0.0,0,81,7.91,39.43,0.248
64538,IOD2_STARTICAL,,100.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,505.81,97.4647,0.000426,3,0.0001678,4.555e-05,-0.589,0.027,0.0056,0.0057,0.0003,0.0016,0,0.589,0,104,0,0.0,0.0,0,105,6.47,23.7,0.326
64539,ELARA 1,,100.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,498.24,97.4679,0.000298,3,0.0001582,7.415e-05,-0.549,0.025,0.0063,0.0063,0.0008,0.0018,0,0.549,0,92,0,0.0,0.0,0,93,7.17,28.39,0.304
64540,ARCSTONE,,6.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,472.62,97.4568,0.000246,3,0.000524,0.00014711,-2.654,0.113,0.0251,0.0274,0.0004,0.0018,0,2.654,0,97,0,0.0,0.0,0,98,7.0,23.52,1.477
64541,PULSAR-0,,149.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,505.89,97.4646,0.000304,3,0.00013,3.816e-05,-0.454,0.017,0.0042,0.0045,0.0004,0.0016,0,0.454,0,101,0,0.0,0.0,0,102,6.65,23.7,0.251
64542,USPWSA-DRAGOON,,100.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,490.64,97.4649,0.000248,3,0.0003383,9.561e-05,-1.395,0.058,0.0122,0.0132,0.0004,0.0017,0,1.395,0,106,0,0.0,0.0,0,107,6.34,23.62,0.773
64543,W-SERIES 4,Chemical,250.0,1,1,DragMakeup,tle_annotation_v1,v1.0-tle-annotation-plan-b,560.89,97.4615,0.039844,3,0.0005504,8.249e-05,-237.081,63.94,6.0875,2.0438,0.0104,0.0137,60,237.081,1,116,53,0.4569,1.7667,3,117,5.88,29.87,129.476
