sat_name,inc_family,maneuver_class,n_trans,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,max_di_deg,dv_total_ms,n_large,n_medium
STARLINK-35036,53deg,mixed,12,481.79,469.89,-9.6266,5.4684,9.5968,0.03511,36.504,0,7
STARLINK-32191,53deg,phasing,11,469.42,481.87,11.5927,5.4545,10.024,0.0312,33.39,1,6
STARLINK-34046,mid-inc,mixed,12,566.03,564.86,4.173499999999998,5.444641666666667,12.6049,0.02104,35.617,1,6
STARLINK-31740,53deg,mixed,12,476.08,480.49,-6.039099999999999,5.422958333333334,11.1975,0.03491,36.194,2,3
STARLINK-34909,SSO,mixed,12,546.45,549.75,6.8857,5.417691666666667,12.8658,0.01061,35.62,2,4
STARLINK-35129,53deg,phasing,12,469.9,480.38,11.931600000000001,5.347533333333334,10.929,0.03631,35.717,1,5
STARLINK-37066,53deg,mixed,12,420.33,413.46,-0.14449999999999985,5.300708333333334,10.7886,0.03717,35.831,1,5
STARLINK-35301,53deg,mixed,12,478.02,472.55,3.8099,5.285941666666666,10.0879,0.03463,35.299,1,5
STARLINK-30938,53deg,lowering,12,481.67,470.38,-12.3057,5.279958333333333,8.7754,0.02363,35.236,0,8
STARLINK-37163,53deg,mixed,12,434.59,434.67,5.7777,5.263991666666667,11.5412,0.03522,35.42,2,5
STARLINK-35295,53deg,lowering,12,479.93,472.03,-10.480699999999999,5.263208333333334,9.9636,0.03361,35.134,0,6
STARLINK-37026,53deg,mixed,12,469.85,473.91,2.8694999999999995,5.249975000000001,13.0335,0.03304,35.072,1,5
STARLINK-30320,53deg,mixed,12,481.2,469.69,-11.564700000000002,5.231308333333334,10.5478,0.03948,34.919,3,3
STARLINK-30921,53deg,mixed,12,468.42,459.1,-4.725499999999998,5.230358333333332,10.771,0.03457,35.013,2,3
STARLINK-34528,53deg,mixed,12,436.35,437.65,8.768,5.225266666666666,12.0232,0.04303,35.161,2,4
STARLINK-32192,53deg,mixed,12,477.72,470.99,3.4795999999999987,5.224716666666667,10.5583,0.029,34.891999999999996,2,5
STARLINK-34782,53deg,phasing,12,471.92,480.79,6.405999999999999,5.198133333333334,10.7415,0.03653,34.715,1,4
STARLINK-34526,53deg,phasing,12,481.55,480.29,-11.5418,5.172666666666667,10.7801,0.03592,34.522999999999996,2,4
STARLINK-34079,mid-inc,mixed,12,572.72,565.62,-0.9841999999999995,5.167783333333333,10.4838,0.01824,33.815,1,5
STARLINK-30297,53deg,mixed,11,471.62,477.1,9.6996,5.158363636363637,10.5297,0.02835,31.572,1,3
STARLINK-36973,53deg,phasing,12,472.71,469.85,-5.5698000000000025,5.151516666666667,13.3039,0.03636,34.447,2,3
STARLINK-34375,53deg,mixed,12,439.79,436.6,0.7558999999999996,5.148575,11.1785,0.04037,34.635,1,4
STARLINK-34024,mid-inc,phasing,12,571.57,567.7,-7.102700000000002,5.1243583333333325,10.244,0.02115,33.537,1,5
STARLINK-34572,mid-inc,mixed,12,577.04,575.78,1.3006999999999975,5.121325000000001,13.3708,0.01866,33.484,2,4
STARLINK-5038,mid-inc,phasing,12,576.81,575.82,1.357800000000001,5.113583333333334,12.8604,0.02054,33.429,1,3
STARLINK-34559,mid-inc,phasing,12,561.71,565.06,7.048299999999999,5.090075000000001,15.6099,0.02623,33.317,2,2
STARLINK-11237,53deg,mixed,12,353.92,359.99,4.1457999999999995,5.08115,11.7633,0.03858,34.809,2,4
STARLINK-34490,53deg,mixed,12,475.61,480.18,-5.776500000000001,5.059158333333333,10.3497,0.02901,33.768,1,5
STARLINK-36768,SSO,mixed,12,462.69,456.09,-2.3637999999999995,5.053649999999999,12.7229,0.00942,33.834,1,4
STARLINK-34817,53deg,mixed,12,471.28,456.95,-11.712499999999999,5.051975,11.0729,0.0315,33.805,1,6
STARLINK-34496,53deg,phasing,12,443.3,444.67,-3.960099999999999,5.014375,11.3171,0.03594,33.731,1,4
STARLINK-30939,53deg,mixed,12,468.99,467.52,0.18300000000000072,4.993116666666667,10.3847,0.02906,33.424,1,4
STARLINK-30898,53deg,mixed,12,469.04,467.79,-0.09260000000000246,4.9838000000000005,12.2489,0.03475,33.368,1,4
STARLINK-35367,53deg,mixed,12,465.36,469.14,-4.557100000000001,4.981974999999999,11.3337,0.03516,33.351,2,3
STARLINK-30321,53deg,mixed,12,470.75,481.71,9.934199999999999,4.961483333333333,11.6882,0.03691,33.124,2,2
STARLINK-32042,53deg,mixed,12,472.62,474.74,-0.7037000000000004,4.953625000000001,10.5083,0.03804,33.084,1,5
STARLINK-30923,53deg,raising,12,463.57,474.31,6.357000000000002,4.946933333333333,11.3052,0.03693,33.073,2,3
STARLINK-30930,53deg,mixed,12,468.28,463.34,-0.15889999999999915,4.910474999999999,10.5384,0.02903,32.872,1,5
STARLINK-35022,53deg,mixed,12,468.4,472.92,-3.379900000000001,4.898708333333333,10.2991,0.02699,32.741,1,3
STARLINK-31780,53deg,lowering,12,481.02,472.71,-9.961900000000002,4.889208333333333,11.9109,0.03545,32.644,1,6
STARLINK-34801,53deg,mixed,12,469.37,471.51,11.4418,4.870183333333334,10.4759,0.03833,32.519,1,5
STARLINK-35462,53deg,mixed,12,473.84,475.17,-3.5737000000000005,4.862525000000001,11.3187,0.03703,32.469,2,3
STARLINK-34729,53deg,mixed,12,480.46,481.35,-9.8395,4.8547416666666665,10.7266,0.03517,32.4,2,3
STARLINK-34493,53deg,phasing,12,477.46,480.22,-7.6263999999999985,4.79,10.3898,0.02878,31.983,1,6
STARLINK-5522,mid-inc,phasing,12,578.09,578.35,-0.583199999999999,4.77435,14.084,0.02043,31.206,2,2
STARLINK-35008,53deg,mixed,12,474.16,472.52,7.3375,4.764841666666666,10.6339,0.0374,31.817999999999998,2,2
STARLINK-34492,53deg,mixed,12,480.92,481.45,-11.0288,4.743483333333333,11.9791,0.03298,31.658,2,3
STARLINK-37103,53deg,mixed,12,417.07,421.46,-4.1918999999999995,4.732825,10.8462,0.03996,31.99,1,4
STARLINK-35299,53deg,phasing,12,477.0,473.7,4.780599999999998,4.71385,9.1161,0.03002,31.475,0,5
STARLINK-35323,53deg,mixed,12,469.3,481.53,12.086,4.712733333333333,12.4317,0.04453,31.468999999999998,1,5
STARLINK-35402,53deg,mixed,12,475.28,469.78,4.955800000000001,4.68965,12.2399,0.03647,31.323999999999998,3,1
STARLINK-35274,53deg,mixed,12,477.49,473.89,-7.259000000000001,4.683833333333333,10.6843,0.03762,31.262,1,3
STARLINK-32430,53deg,phasing,12,489.66,482.57,-7.219900000000002,4.663091666666667,8.433,0.04504,31.062,0,7
STARLINK-35148,53deg,mixed,12,464.99,471.78,-5.591200000000001,4.660383333333333,12.381,0.03633,31.169,1,4
STARLINK-35453,53deg,lowering,12,478.78,463.41,-19.6565,4.655891666666667,10.3557,0.03404,31.091,1,3
STARLINK-34523,53deg,mixed,12,439.78,438.94,-1.7368999999999981,4.627625,11.6302,0.04179,31.134,2,2
STARLINK-34849,53deg,mixed,12,474.66,474.34,3.5220000000000025,4.616483333333334,10.7108,0.03588,30.827,1,3
STARLINK-34085,mid-inc,mixed,12,577.74,578.06,0.405199999999998,4.60445,16.2215,0.0216,30.113999999999997,1,4
STARLINK-35384,53deg,mixed,12,480.94,470.65,-6.750600000000001,4.60325,10.7704,0.03095,30.734,1,3
STARLINK-31889,53deg,mixed,12,481.52,482.69,4.6754999999999995,4.596308333333334,8.572,0.03916,30.622,0,6
STARLINK-35270,53deg,mixed,12,463.37,457.32,5.1064,4.589200000000001,11.1527,0.03813,30.736,2,2
STARLINK-32259,53deg,mixed,12,477.61,478.16,-8.1224,4.5825000000000005,9.3373,0.02718,30.59,0,5
STARLINK-34688,53deg,mixed,12,475.89,469.27,-10.674100000000001,4.580825,9.6843,0.03167,30.611,0,5
STARLINK-34447,mid-inc,phasing,12,577.3,569.51,-1.4069000000000003,4.579725,11.2118,0.02236,29.932,2,3
STARLINK-35302,53deg,mixed,12,473.74,472.97,7.102299999999998,4.5383249999999995,10.2509,0.03425,30.310000000000002,1,3
STARLINK-31580,53deg,mixed,12,476.07,474.49,5.655300000000001,4.507141666666667,11.596,0.03265,30.1,1,4
STARLINK-30236,53deg,phasing,11,486.58,485.53,-4.081300000000001,4.5001,8.481,0.04225,27.479,0,4
STARLINK-5367,53deg,phasing,12,487.7,481.02,1.8615000000000013,4.486891666666666,8.9068,0.04252,29.897,0,5
STARLINK-30295,53deg,mixed,11,479.28,469.59,-3.766800000000001,4.484290909090909,10.0,0.03216,27.448999999999998,0,5
STARLINK-5529,mid-inc,phasing,12,572.57,572.45,0.07000000000000028,4.477900000000001,10.9573,0.0154,29.277,1,4
STARLINK-34438,53deg,mixed,12,477.34,471.97,2.6298000000000012,4.4687166666666664,10.5948,0.03765,29.825,1,2
STARLINK-37054,53deg,mixed,12,481.66,480.21,-11.964200000000002,4.413633333333333,10.5241,0.0352,29.457,2,3
STARLINK-31903,53deg,mixed,12,486.12,489.29,1.145500000000001,4.389725000000001,8.4999,0.03847,29.25,0,6
STARLINK-34680,53deg,phasing,12,481.05,479.88,-2.3838999999999997,4.3785750000000005,11.7174,0.04109,29.23,2,2
STARLINK-36999,53deg,raising,12,441.01,457.64,24.792000000000005,4.375900000000001,16.6548,0.02934,29.35,1,3
STARLINK-35276,53deg,mixed,12,470.18,478.81,4.018000000000001,4.373616666666666,10.2423,0.03355,29.198,2,1
STARLINK-30313,53deg,mixed,11,471.84,479.67,5.665499999999998,4.370918181818182,9.9043,0.03018,26.752,0,5
STARLINK-37133,53deg,mixed,12,471.33,470.78,9.5996,4.3696166666666665,10.3088,0.02962,29.189,2,2
STARLINK-32040,53deg,mixed,12,470.72,473.26,9.132,4.365333333333333,10.8339,0.03829,29.152,1,3
STARLINK-11246,53deg,phasing,12,363.27,354.03,1.8262,4.359883333333333,11.0656,0.03134,29.860999999999997,1,4
STARLINK-31416,53deg,mixed,12,487.53,489.31,-5.2099,4.354725000000001,8.8215,0.04553,29.003999999999998,0,6
STARLINK-30201,53deg,mixed,11,480.82,488.53,8.804700000000002,4.344463636363637,8.7839,0.04188,26.537,0,5
STARLINK-30934,53deg,mixed,12,458.07,459.07,-1.1707999999999998,4.3107500000000005,9.9084,0.03486,28.855,0,2
STARLINK-37063,53deg,mixed,12,467.72,469.73,4.7569,4.300208333333333,11.6222,0.04089,28.715,3,1
STARLINK-35196,53deg,mixed,12,481.27,469.44,-11.113,4.290083333333333,10.1328,0.03173,28.634999999999998,2,2
STARLINK-30805,53deg,mixed,12,489.55,480.49,-8.4516,4.289283333333333,8.9834,0.04062,28.573,0,4
STARLINK-34830,53deg,mixed,12,474.59,479.7,-4.4504,4.243233333333333,10.7674,0.03042,28.329,1,3
STARLINK-31696,53deg,mixed,12,473.95,473.44,2.4145999999999974,4.2341500000000005,11.5803,0.03414,28.279,1,3
STARLINK-37023,53deg,lowering,12,481.12,473.42,-21.2092,4.226983333333333,13.5139,0.03239,28.222,1,2
STARLINK-32787,53deg,lowering,12,480.9,476.11,-8.598399999999998,4.224516666666667,10.8669,0.0303,28.205000000000002,1,3
STARLINK-31501,53deg,mixed,12,480.6,480.69,5.887600000000001,4.222533333333334,8.5172,0.04088,28.139000000000003,0,6
STARLINK-31741,53deg,mixed,12,489.1,488.15,-7.8932,4.1673833333333326,7.4398,0.0388,27.764,0,4
STARLINK-37036,53deg,mixed,12,421.23,415.87,3.7568,4.15635,10.2554,0.02789,28.104,1,4
STARLINK-34393,53deg,mixed,12,476.33,481.57,-6.999400000000001,4.1464,12.2405,0.04075,27.675,1,2
STARLINK-37028,53deg,mixed,12,479.03,472.67,-8.0541,4.142708333333333,8.424,0.02616,27.663,0,4
STARLINK-31593,53deg,phasing,11,487.36,481.12,1.5585000000000004,4.141318181818182,7.8027,0.03428,25.292,0,3
STARLINK-34518,53deg,mixed,12,479.12,481.06,-7.282899999999999,4.132975000000001,9.6441,0.02483,27.592,0,3
STARLINK-34797,53deg,mixed,12,469.39,470.08,10.7798,4.1214666666666675,10.0884,0.03066,27.533,1,2
STARLINK-30235,53deg,mixed,11,488.88,483.77,-6.7654,4.089981818181818,8.0295,0.03928,24.973,0,4
STARLINK-35321,53deg,mixed,12,481.08,469.64,-9.257300000000003,4.085958333333333,10.4907,0.0381,27.283,1,3
STARLINK-31555,53deg,mixed,12,484.29,486.91,4.1812999999999985,4.051241666666667,8.7192,0.04351,26.989,0,5
STARLINK-32886,53deg,mixed,12,479.89,480.38,-10.101300000000002,4.014491666666667,10.5904,0.03668,26.796,1,4
STARLINK-32883,53deg,mixed,12,478.92,479.53,-3.0301,3.9959749999999996,9.4234,0.02893,26.673000000000002,0,4
STARLINK-32448,53deg,mixed,12,485.91,481.1,2.1057000000000006,3.9886250000000003,7.5757,0.03579,26.583,0,5
STARLINK-35231,53deg,mixed,12,473.82,475.22,-0.10029999999999961,3.9649750000000004,9.6087,0.03569,26.471,0,4
STARLINK-34574,mid-inc,phasing,12,578.42,565.42,-15.795,3.944233333333333,14.4233,0.01879,25.778,1,1
STARLINK-32848,53deg,mixed,12,474.8,473.08,-6.748699999999998,3.9381916666666665,11.8881,0.03843,26.309,1,2
