sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-30233,57302,1261053,Operational,43deg,42.859,7,279.33,operational,485.1,489.2,-3.3,0.00102,phasing,19.8,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32660,62205,1261033,Operational,43deg,42.879,7,312.79,operational,485.9,487.4,-1.6,0.00111,mixed,23.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30236,57300,1261046,Operational,43deg,42.863,7,279.31,operational,486.6,485.5,-4.08,0.00114,phasing,27.5,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31176,58745,1261046,Operational,43deg,42.855,7,275.94,operational,487.5,481,-6.61,0.00122,lowering,22.7,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31148,58741,1261044,Operational,43deg,42.866,7,275.57,operational,487.9,487.1,-3.9,0.00123,mixed,21,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31157,58735,1261053,Operational,43deg,42.864,7,275.56,operational,488.7,487.8,-7.74,0.00125,mixed,21.1,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30235,57294,1261054,Operational,43deg,42.856,7,279.28,operational,488.9,483.8,-6.77,0.00123,mixed,25,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31164,58733,1261045,Operational,43deg,42.867,7,275.51,operational,489.5,480.9,-8.84,0.00116,mixed,16.5,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32664,62204,1261036,Operational,43deg,42.89,8,321.14,raising,435.7,426.1,-3.73,0.00107,phasing,26,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32784,62607,1261023,Operational,43deg,42.904,8,329.02,raising,450,447.9,-9.97,0.0014,lowering,18.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
