sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-31780,59432,1261038,Operational,53deg,53.217,1,31.77,operational,481,472.7,-9.96,0.00146,lowering,32.6,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11237,60934,1261101,Operational,53deg,53.286,2,75.57,deployment,353.9,360,4.15,0.00171,mixed,34.8,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11207,60933,1261107,Operational,53deg,53.288,2,75.63,deployment,354.4,360.7,4.59,0.00164,mixed,46.1,4,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11251,60930,1261106,Operational,53deg,53.291,2,75.8,deployment,362.7,359.9,-0.81,0.00144,phasing,50.8,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11241,60936,1261107,Operational,53deg,53.288,2,76.14,deployment,363,356.3,1.84,0.00062,phasing,44.5,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11253,60935,1261103,Operational,53deg,53.293,2,76.18,deployment,363,364.9,-6.58,0.00062,phasing,48.1,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11246,60932,1261106,Operational,53deg,53.29,2,75.72,deployment,363.3,354,1.83,0.00062,phasing,29.9,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11204,60931,1261107,Operational,53deg,53.287,2,75.76,deployment,366.1,354.4,0.21,0.00113,phasing,49.1,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37029,68271,1260939,Operational,53deg,53.287,2,70.07,raising,413,420.9,0.27,0.00037,mixed,43.5,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37103,68267,1260939,Operational,53deg,53.287,2,70.03,raising,417.1,421.5,-4.19,0.0011,mixed,32,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36962,68269,1260938,Operational,53deg,53.282,2,69.13,raising,420,449.9,41.84,0.00067,phasing,55,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37163,68264,1260936,Operational,53deg,53.284,2,70.13,raising,434.6,434.7,5.78,0.00051,mixed,35.4,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36999,68268,1260945,Operational,53deg,53.281,2,68.79,raising,441,457.6,24.79,0.00137,raising,29.4,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37042,68266,1260937,Operational,53deg,53.291,2,69.93,raising,445.6,445,-6.24,0.00147,phasing,39.7,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37162,68262,1260944,Operational,53deg,53.291,2,69.92,raising,446.2,445.6,-12.09,0.00127,mixed,42.7,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32191,60314,1261031,Operational,53deg,53.242,2,47,operational,469.4,481.9,11.59,0.00169,phasing,33.4,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32199,60320,1261038,Operational,53deg,53.243,2,47.08,operational,470.9,475.3,10.7,0.00145,mixed,26,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37133,68265,1260943,Operational,53deg,53.285,2,70.15,operational,471.3,470.8,9.6,0.00076,mixed,29.2,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32190,60318,1261034,Operational,53deg,53.248,2,47.08,operational,473.2,475,8.31,0.00109,mixed,39.8,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32848,62808,1261017,Operational,53deg,53.274,2,59.58,operational,474.8,473.1,-6.75,0.0015,mixed,26.3,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37156,68263,1260943,Operational,53deg,53.291,2,70.25,operational,477.5,473.2,-6.23,0.00147,mixed,24,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32192,60316,1261039,Operational,53deg,53.244,2,46.79,operational,477.7,471,3.48,0.00141,mixed,34.9,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32883,62806,1261018,Operational,53deg,53.273,2,59.58,operational,478.9,479.5,-3.03,0.00147,mixed,26.7,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37028,68270,1260935,Operational,53deg,53.289,2,70.3,operational,479,472.7,-8.05,0.00121,mixed,27.7,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32194,60315,1261031,Operational,53deg,53.251,2,47.18,operational,479.9,469.7,-8.54,0.00073,mixed,38.1,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32886,62807,1261026,Operational,53deg,53.273,2,59.57,operational,479.9,480.4,-10.1,0.0015,mixed,26.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32189,60317,1261039,Operational,53deg,53.251,2,47.16,operational,480.4,469.6,-0.77,0.00083,mixed,43.4,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32787,62809,1261018,Operational,53deg,53.275,2,59.56,operational,480.9,476.1,-8.6,0.00146,lowering,28.2,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32182,60319,1261037,Operational,53deg,53.245,2,47.17,operational,481.1,469.5,-4.15,0.00097,mixed,37.5,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30913,58388,1261044,Operational,53deg,53.304,3,111.06,raising,457.8,460.5,-0.21,0.00155,mixed,37.7,1,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30934,58395,1261044,Operational,53deg,53.308,3,111.07,raising,458.1,459.1,-1.17,0.00152,mixed,28.9,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30916,58391,1261054,Operational,53deg,53.3,3,111.03,operational,459.5,469.2,-0.97,0.00131,mixed,36,1,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30882,58379,1261046,Operational,53deg,53.31,3,110.95,raising,462.9,456.9,-4.97,0.00112,phasing,23.4,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35270,65882,1261010,Operational,53deg,53.295,3,121.2,operational,463.4,457.3,5.11,0.00072,mixed,30.7,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30923,58381,1261049,Operational,53deg,53.3,3,111.06,operational,463.6,474.3,6.36,0.00158,raising,33.1,2,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35367,65883,1261010,Operational,53deg,53.295,3,121.1,operational,465.4,469.1,-4.56,0.0014,mixed,33.4,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30930,58385,1261044,Operational,53deg,53.302,3,110.51,operational,468.3,463.3,-0.16,0.00091,mixed,32.9,1,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30921,58383,1261045,Operational,53deg,53.307,3,110.9,operational,468.4,459.1,-4.73,0.00099,mixed,35,2,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30898,58387,1261045,Operational,53deg,53.3,3,111.08,operational,469,467.8,-0.09,0.00143,mixed,33.4,1,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30939,58393,1261046,Operational,53deg,53.303,3,110.86,operational,469,467.5,0.18,0.00138,mixed,33.4,1,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35384,65884,1261007,Operational,53deg,53.289,3,121.5,operational,480.9,470.6,-6.75,0.00096,mixed,30.7,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30938,58389,1261046,Operational,53deg,53.305,3,111.24,operational,481.7,470.4,-12.31,0.00137,lowering,35.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32009,60104,1261040,Operational,53deg,53.255,4,147.32,operational,469.5,481.2,6.2,0.00168,mixed,43.7,4,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32035,60107,1261039,Operational,53deg,53.257,4,147.01,operational,470.4,480.4,5.87,0.0006,mixed,41.2,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32040,60109,1261030,Operational,53deg,53.255,4,146.7,operational,470.7,473.3,9.13,0.00149,mixed,29.2,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32042,60108,1261031,Operational,53deg,53.256,4,146.88,operational,472.6,474.7,-0.7,0.00098,mixed,33.1,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32013,60103,1261034,Operational,53deg,53.252,4,147.2,operational,476.2,470.8,-6.92,0.0007,lowering,22,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31954,60102,1261032,Operational,53deg,53.256,4,147.22,operational,477.4,474.8,-6.06,0.00061,mixed,37.1,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32015,60111,1261035,Operational,53deg,53.26,4,146.75,operational,478.1,470.2,2.75,0.00061,mixed,38.5,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32001,60110,1261040,Operational,53deg,53.261,4,146.79,operational,480.6,469.4,-2.15,0.00089,mixed,45.3,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32045,60106,1261037,Operational,53deg,53.257,4,147.15,operational,481.2,469.5,-5.09,0.00147,mixed,45.3,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32018,60105,1261038,Operational,53deg,53.259,4,147.13,operational,481.7,470.3,-1.78,0.00141,mixed,50,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32262,60938,1261038,Operational,53deg,53.094,5,208.45,deployment,344.9,353.4,-2.62,0.00128,mixed,49.6,4,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35148,65844,1261005,Operational,53deg,53.142,5,198.51,operational,465,471.8,-5.59,0.00041,mixed,31.2,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35276,66009,1261007,Operational,53deg,53.102,5,213.89,operational,470.2,478.8,4.02,0.00156,mixed,29.2,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35308,65848,1261003,Operational,53deg,53.131,5,198.26,operational,471.2,479.6,10.2,0.00139,raising,23.5,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35336,66006,1261009,Operational,53deg,53.106,5,213.51,operational,471.9,481.7,0.81,0.00088,mixed,38.9,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35290,65846,1261007,Operational,53deg,53.136,5,198.26,operational,472.5,475.9,8.2,0.0012,phasing,37.1,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35262,65847,1261003,Operational,53deg,53.139,5,198.8,operational,473.5,474,-2.86,0.00109,mixed,22.1,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35302,65845,1261009,Operational,53deg,53.132,5,198.31,operational,473.7,473,7.1,0.00099,mixed,30.3,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35231,65849,1261003,Operational,53deg,53.138,5,198.81,operational,473.8,475.2,-0.1,0.001,mixed,26.5,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34849,66005,1261005,Operational,53deg,53.099,5,214.06,operational,474.7,474.3,3.52,0.00086,mixed,30.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35236,66008,1261011,Operational,53deg,53.099,5,214.03,operational,475.4,481.6,5.59,0.00076,mixed,18.8,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35301,65843,1261008,Operational,53deg,53.136,5,198.31,operational,478,472.6,3.81,0.00058,mixed,35.3,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35364,65840,1261007,Operational,53deg,53.137,5,198.4,operational,479.5,457,-14.74,0.0015,lowering,26.1,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35196,66007,1261003,Operational,53deg,53.095,5,213.76,operational,481.3,469.4,-11.11,0.00141,mixed,28.6,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35298,65842,1261012,Operational,53deg,53.137,5,198.38,operational,481.5,470,-4.86,0.00113,mixed,25.9,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-11205,60313,1261102,Operational,53deg,53.041,6,241.09,deployment,365.2,353.8,0.88,0.00147,mixed,37.8,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11206,60312,1261101,Operational,53deg,53.044,6,241.12,deployment,366.3,355.6,-1.7,0.00125,phasing,47.7,3,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34528,64479,1261020,Operational,53deg,53.073,6,226.12,raising,436.4,437.6,8.77,0.00086,mixed,35.2,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34375,64477,1261017,Operational,53deg,53.077,6,226.16,raising,439.8,436.6,0.76,0.00126,mixed,34.6,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34523,64475,1261016,Operational,53deg,53.075,6,226.17,raising,439.8,438.9,-1.74,0.00124,mixed,31.1,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34496,64476,1261019,Operational,53deg,53.076,6,226.18,raising,443.3,444.7,-3.96,0.00148,phasing,33.7,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34490,64478,1261017,Operational,53deg,53.068,6,226.61,operational,475.6,480.2,-5.78,0.00126,mixed,33.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34493,64472,1261021,Operational,53deg,53.069,6,226.98,operational,477.5,480.2,-7.63,0.0006,phasing,32,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32259,60937,1261039,Operational,53deg,53.047,6,239.76,operational,477.6,478.2,-8.12,0.0014,mixed,30.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34518,64480,1261022,Operational,53deg,53.068,6,226.58,operational,479.1,481.1,-7.28,0.00149,mixed,27.6,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34492,64473,1261023,Operational,53deg,53.069,6,226.96,operational,480.9,481.4,-11.03,0.00091,mixed,31.7,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34526,64481,1261014,Operational,53deg,53.074,6,226.56,operational,481.6,480.3,-11.54,0.00119,phasing,34.5,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34474,64474,1261016,Operational,53deg,53.072,6,226.94,operational,481.7,477.3,-12.38,0.00124,mixed,22.4,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37051,68080,1260938,Operational,53deg,53.017,7,287.32,raising,408.8,459.3,59.89,0.0016,raising,47,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37066,68081,1260940,Operational,53deg,53.011,7,288.29,raising,420.3,413.5,-0.14,0.00134,mixed,35.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37036,68077,1260937,Operational,53deg,53.012,7,288.2,raising,421.2,415.9,3.76,0.00052,mixed,28.1,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37037,68084,1260940,Operational,53deg,53.009,7,288.8,operational,457,468.1,7.98,0.00169,phasing,41,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37065,68083,1260937,Operational,53deg,53.009,7,289.21,operational,458,468.7,10.93,0.00055,mixed,22.7,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37063,68079,1260936,Operational,53deg,53.013,7,288.85,operational,467.7,469.7,4.76,0.00135,mixed,28.7,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34797,65363,1261006,Operational,53deg,53.007,7,278.34,operational,469.4,470.1,10.78,0.0017,mixed,27.5,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37026,68075,1260944,Operational,53deg,53.016,7,288.95,operational,469.8,473.9,2.87,0.00126,mixed,35.1,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34817,65362,1261006,Operational,53deg,53.014,7,278.52,operational,471.3,457,-11.71,0.00141,mixed,33.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34782,65358,1261012,Operational,53deg,53.006,7,277.91,operational,471.9,480.8,6.41,0.00084,phasing,34.7,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36973,68078,1260942,Operational,53deg,53.011,7,288.71,operational,472.7,469.8,-5.57,0.00115,phasing,34.4,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34823,65355,1261010,Operational,53deg,53.017,7,278.19,operational,473.4,478.9,-3.63,0.00105,mixed,37.4,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34860,65357,1261004,Operational,53deg,53.008,7,278.38,operational,473.8,478.5,6.94,0.00101,mixed,24.6,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34800,65361,1261009,Operational,53deg,53.009,7,277.88,operational,474.6,478.6,4.58,0.00116,phasing,36.7,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34393,64724,1261021,Operational,53deg,53.012,7,290.87,operational,476.3,481.6,-7,0.00066,mixed,27.7,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34760,65359,1261005,Operational,53deg,53.012,7,278.09,operational,476.3,470.4,-3.58,0.00132,phasing,38.8,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34729,65364,1261012,Operational,53deg,53.017,7,278.18,operational,480.5,481.4,-9.84,0.00081,mixed,32.4,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34680,65356,1261004,Operational,53deg,53.012,7,278.55,operational,481,479.9,-2.38,0.00143,phasing,29.2,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34826,65360,1261003,Operational,53deg,53.015,7,278.46,operational,481,469.6,-9.75,0.00141,mixed,43.8,5,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37023,68076,1260940,Operational,53deg,53.017,7,288.97,operational,481.1,473.4,-21.21,0.00089,lowering,28.2,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30320,57678,1261045,Operational,53deg,53.022,7,304.08,operational,481.2,469.7,-11.56,0.001,mixed,34.9,3,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-37054,68082,1260942,Operational,53deg,53.022,7,288.57,operational,481.7,480.2,-11.96,0.00126,mixed,29.5,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35031,65404,1261011,Operational,53deg,53.115,8,353.03,operational,464.4,456.9,3.91,0.00091,phasing,37,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
