norad_id,sma_mean_km,alt_mean_km,sma_net_30d_km,sma_slope_km_day,sma_std_30d_km,sma_resid_std_km,sma_range_30d_km,inc_std_30d_deg,raan_res_30d_deg,ecc_mean,n_tle_30d,maneuver_class,alt_shell,inc_shell,i_deg_mean,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,dv_total_ms
60314,6853.38,475.24,0.053,-0.00036,0.0323,0.0321,0.201,0.00097,0.0298,0.000129,72,phasing,operational,53deg,53.242,469.42,481.87,11.5927,5.4545,10.024,33.39
60315,6853.37,475.24,0.08,0.00026,0.031,0.0309,0.222,0.0011,0.029,0.000116,74,mixed,operational,53deg,53.251,479.87,469.66,-8.538599999999999,5.704999999999999,11.7429,38.079
60316,6853.37,475.24,0.069,-0.00035,0.0507,0.0506,0.383,0.00125,0.029,0.000119,61,mixed,operational,53deg,53.244,477.72,470.99,3.4795999999999987,5.224716666666667,10.5583,34.892
60317,6853.38,475.24,0.059,0.00054,0.0523,0.052,0.37,0.00099,0.0243,0.000123,70,mixed,operational,53deg,53.251,480.39,469.65,-0.7708000000000013,6.505016666666666,11.261,43.424
60318,6853.38,475.24,-0.064,-3e-05,0.0489,0.0489,0.275,0.00114,0.0245,0.000122,70,mixed,operational,53deg,53.248,473.22,475.0,8.3139,5.966458333333335,10.5754,39.837
60319,6853.37,475.23,0.029,-0.00051,0.0411,0.0407,0.234,0.00109,0.0262,0.000131,71,mixed,operational,53deg,53.245,481.06,469.46,-4.147099999999998,5.618075,10.2769,37.515
60320,6853.37,475.23,0.027,7e-05,0.0521,0.0521,0.281,0.00077,0.0252,0.000129,69,mixed,operational,53deg,53.243,470.93,475.33,10.701999999999998,3.8928,10.2227,26.0
60930,6737.88,359.74,0.101,0.0011,0.0311,0.029,0.147,0.00091,0.0371,0.000107,67,phasing,deployment,53deg,53.291,362.68,359.89,-0.8080999999999972,7.423958333333332,11.436,50.845
60931,6737.87,359.73,0.053,-0.00022,0.0285,0.0285,0.132,0.00101,0.0336,0.000122,65,phasing,deployment,53deg,53.287,366.14,354.44,0.2064000000000003,7.1703,12.507,49.108
60932,6737.86,359.73,0.003,-0.00044,0.0326,0.0322,0.232,0.00121,0.0378,0.000107,62,phasing,deployment,53deg,53.29,363.27,354.03,1.8262,4.359883333333333,11.0656,29.861
60933,6737.88,359.74,0.078,0.0001,0.0485,0.0485,0.251,0.00119,0.0292,0.000113,60,mixed,deployment,53deg,53.288,354.37,360.73,4.587099999999999,6.728491666666668,12.6422,46.079
60934,6737.87,359.73,0.186,0.00117,0.05,0.0485,0.356,0.00081,0.0358,0.000111,64,mixed,deployment,53deg,53.286,353.92,359.99,4.1458,5.08115,11.7633,34.809
60935,6737.88,359.74,0.066,-0.00018,0.0454,0.0454,0.209,0.00109,0.037,0.000111,67,phasing,deployment,53deg,53.293,362.99,364.88,-6.579599999999998,7.018366666666666,10.1291,48.058
60936,6737.89,359.75,0.06,0.00131,0.0587,0.0572,0.293,0.00092,0.0325,0.000113,60,phasing,deployment,53deg,53.288,363.04,356.27,1.841499999999999,6.5047250000000005,12.3436,44.549
60937,6853.37,475.24,0.074,0.00057,0.0289,0.0282,0.144,0.00108,0.0195,0.000132,64,mixed,operational,53deg,53.047,477.61,478.16,-8.1224,4.5825000000000005,9.3373,30.59
60938,6735.86,357.72,-26.754,-0.78401,8.6106,0.5004,26.754,0.00255,0.0336,0.000881,95,mixed,deployment,53deg,53.094,344.9,353.43,-2.6224999999999987,7.222608333333333,11.1577,49.592
62200,6861.15,483.01,0.028,0.00088,0.0449,0.0439,0.242,0.00291,359.8812,0.000115,64,mixed,operational,43deg,42.9,487.71,481.71,-2.375100000000001,2.7783916666666664,8.0018,18.513
62201,6861.15,483.01,0.144,0.00029,0.0377,0.0376,0.214,0.00275,359.8843,0.000153,57,mixed,operational,43deg,42.899,484.96,480.93,4.475200000000001,3.2726333333333337,8.5029,21.807
62202,6861.15,483.02,0.079,0.00095,0.0676,0.067,0.352,0.00283,359.8782,0.000133,59,mixed,operational,43deg,42.907,486.97,489.48,-6.1095000000000015,3.615172727272727,8.7459,22.069
62203,6861.15,483.01,0.028,0.00094,0.0411,0.04,0.224,0.00182,359.8816,0.000143,70,mixed,operational,43deg,42.89,480.58,481.42,8.367899999999999,2.835808333333333,8.7391,18.899
62204,6813.53,435.4,-25.698,-0.66452,7.8402,0.709,25.698,0.00101,359.8631,0.001633,85,phasing,raising,43deg,42.89,435.67,426.07,-3.7301,3.853291666666667,8.1521,25.982
62205,6861.15,483.01,0.024,0.00078,0.0329,0.0318,0.168,0.00167,359.8813,0.00013,75,mixed,operational,43deg,42.879,485.88,487.38,-1.6017999999999983,3.495466666666668,8.7786,23.29
62206,6861.14,483.01,-0.066,-0.00053,0.0597,0.0594,0.304,0.00267,359.8844,0.000138,60,mixed,operational,43deg,42.896,485.91,481.1,2.105700000000001,3.988625,7.5757,26.583
62207,6861.16,483.02,0.052,0.00114,0.0491,0.0478,0.202,0.00206,359.8832,0.000125,66,phasing,operational,43deg,42.896,489.66,482.57,-7.219900000000002,4.663091666666667,8.433,31.062
62208,6861.15,483.01,-0.001,-0.00011,0.0303,0.0303,0.129,0.00243,359.8845,0.000118,62,phasing,operational,43deg,42.89,481.55,480.95,7.2075,3.623041666666667,7.8061,24.149
62209,6861.15,483.01,0.014,0.00072,0.0681,0.0676,0.331,0.00319,359.8837,0.000153,66,mixed,operational,43deg,42.891,482.57,480.67,6.3870000000000005,2.842633333333333,8.8865,18.947000000000003
62409,6734.42,356.28,0.134,0.00125,0.247,0.2467,0.987,0.00187,359.9057,0.000193,54,phasing,deployment,43deg,42.976,362.14,355.78,-0.0887999999999991,5.8416500000000005,9.2026,40.017
62600,6861.14,483.0,0.027,-0.00053,0.044,0.0435,0.247,0.00181,359.8864,0.000142,56,mixed,operational,43deg,42.915,483.61,485.27,1.7736999999999998,3.0655750000000004,6.9096,20.426
62601,6861.15,483.02,0.014,0.00085,0.0701,0.0695,0.354,0.00176,359.8793,0.000137,61,mixed,operational,43deg,42.908,480.8,481.97,2.4408,2.8289166666666667,8.8447,18.854
62602,6861.14,483.01,0.023,-0.0001,0.0479,0.0479,0.205,0.00163,359.8828,0.000114,69,lowering,operational,43deg,42.917,486.35,481.56,-5.6549,2.527475,6.2479,16.838
62603,6861.14,483.0,-0.033,-0.0003,0.0367,0.0366,0.18,0.00269,359.8798,0.000122,60,mixed,operational,43deg,42.921,489.24,488.74,-3.1552,2.65695,7.4202,17.698
62604,6861.16,483.02,0.031,0.00054,0.0385,0.0381,0.234,0.00167,359.8773,0.000128,62,mixed,operational,43deg,42.909,485.09,489.2,-4.315999999999999,3.16085,8.4249,21.055
62605,6861.14,483.01,0.052,0.00054,0.0338,0.0333,0.194,0.00226,359.8771,0.000117,63,mixed,operational,43deg,42.905,483.0,485.62,0.6399000000000004,3.099775,8.2927,20.656
62606,6861.16,483.02,-0.053,0.00024,0.0553,0.0552,0.302,0.00237,359.8795,0.000141,66,lowering,operational,43deg,42.917,487.32,485.42,-6.504800000000001,2.8951166666666666,8.8603,19.289
62607,6827.0,448.87,-18.596,-0.49936,5.6981,0.4718,18.596,0.00137,359.8739,0.00138,69,lowering,raising,43deg,42.904,450.05,447.88,-9.9695,2.7986416666666667,7.8013,18.806
