norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
65547,OBJECT D,2026-01-07 18:59:14.272224+00:00,2026-01-09 18:36:44.032896+00:00,47.62,7222.666,844.53,0.021682,86.5612,120.9008,6.6105,-0.021562,-0.5686,-6.4553,-5.6256,medium,56.2558,True,da=+6.61km[medium] | di=-0.5686deg | de=-0.02156 | dOmega_res=-5.626deg
65547,OBJECT D,2026-01-06 22:36:04.741920+00:00,2026-01-07 18:59:14.272224+00:00,20.39,7229.281,851.14,0.000113,85.9927,115.7161,-6.6155,0.021568,0.5685,5.1847,5.5399,medium,55.3986,True,da=-6.62km[medium] | di=+0.5685deg | de=+0.02157 | dOmega_res=+5.540deg
66913,OBJECT A,2026-01-14 22:27:04.339296+00:00,2026-01-16 15:00:49.133088+00:00,40.56,7166.284,788.15,0.002927,80.4017,89.4089,55.2494,0.000667,0.0074,-1.8362,0.0058,large,55.2494,True,da=+55.25km[large]
66914,OBJECT B,2026-01-14 22:22:54.873984+00:00,2026-01-16 14:56:07.820736+00:00,40.55,7165.817,787.68,0.003137,80.3995,89.3804,54.7652,0.000542,-0.0054,-1.8217,0.0221,large,54.7652,True,da=+54.77km[large]
48864,TIANQI-14,2026-05-15 19:19:34.286016+00:00,2026-05-17 17:08:13.445664+00:00,45.81,6958.32,580.18,0.015727,35.0464,280.1777,-53.9306,-0.015268,-0.0469,-12.8727,-1.2299,large,53.9306,True,da=-53.93km[large] | di=-0.0469deg | de=-0.01527 | dOmega_res=-1.230deg
48864,TIANQI-14,2026-05-14 19:28:02.441568+00:00,2026-05-15 19:19:34.286016+00:00,23.86,6904.457,526.32,0.000494,34.9998,285.2891,53.8628,0.015233,0.0466,-5.1114,0.9522,large,53.8628,True,da=+53.86km[large] | di=+0.0466deg | de=+0.01523 | dOmega_res=+0.952deg
66913,OBJECT A,2026-01-04 22:38:38.983200+00:00,2026-01-07 20:18:37.888704+00:00,69.67,6967.375,589.24,0.001951,80.4017,101.0096,45.545,0.004848,-0.0057,-3.4754,0.0253,large,45.545,True,da=+45.55km[large] | de=+0.00485
63984,OBJECT C,2026-01-19 13:16:32.642112+00:00,2026-01-19 22:46:17.206464+00:00,9.5,6873.483,495.35,0.000432,97.4149,99.8094,11.7442,0.002304,-0.0313,-3.9017,-4.2913,large,42.913,True,da=+11.74km[large] | di=-0.0313deg | de=+0.00230 | dOmega_res=-4.291deg
46454,JILIN-01 GAOFEN 3B,2026-04-26 11:05:46.239072+00:00,2026-04-27 00:16:13.027296+00:00,13.17,6559.01,180.87,0.001064,97.1986,177.393,-40.9505,5.2e-05,0.0009,0.6256,-0.0028,large,40.9505,True,da=-40.95km[large]
49006,OBJECT D,2026-04-18 04:54:34.371936+00:00,2026-04-21 14:26:02.396832+00:00,81.52,6613.464,235.33,0.001121,97.2808,188.2871,-40.5752,0.000192,-0.0058,3.803,-0.0149,large,40.5752,True,da=-40.58km[large]
