norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
44836,JILIN-01 GAOFEN 2B,2024-11-28 03:20:05.280864+00:00,2024-11-28 11:15:25.473312+00:00,7.92,6892.619,514.48,0.000524,97.5586,38.7586,4.4179,-0.000163,0.0005,0.3298,0.0004,small,4.4179,True,da=+4.42km[small]
46025,GAOFEN 9 04,2024-08-12 22:09:07.763328+00:00,2024-08-13 04:27:25.302528+00:00,6.3,6870.821,492.68,0.000166,97.3276,297.8236,4.4034,0.000296,-0.0001,0.2575,0.0005,small,4.4034,True,da=+4.40km[small]
54746,YAOGAN-36 04A,2024-10-15 20:30:03.540960+00:00,2024-10-18 11:26:58.555968+00:00,62.95,6871.788,493.65,0.000659,34.993,70.5023,4.401,-5.5e-05,-0.0002,-16.4863,-0.0118,small,4.401,True,da=+4.40km[small]
60465,YAOGAN-43 O1H,2024-09-02 11:05:27.327840+00:00,2024-09-05 11:29:32.041248+00:00,72.4,6873.754,495.62,0.000478,34.998,307.43,4.397,9e-06,0.0004,-18.9511,-0.0229,small,4.397,True,da=+4.40km[small]
40701,GAOFEN 8,2024-08-29 09:23:07.044000+00:00,2024-08-29 20:25:11.858016+00:00,11.03,6869.155,491.02,0.000348,97.663,38.6354,4.3945,0.00044,0.0002,0.4692,-0.0015,small,4.3945,True,da=+4.39km[small]
46457,JILIN-01 GAOFEN 3E,2024-12-15 21:31:13.188288+00:00,2024-12-17 12:47:23.500032+00:00,39.27,6854.493,476.36,0.002301,97.3145,33.6317,4.392,0.000383,-0.0005,1.6073,-0.004,small,4.392,True,da=+4.39km[small]
51835,OBJECT M,2024-07-07 12:31:40.324800+00:00,2024-07-08 04:33:02.142432+00:00,16.02,6876.182,498.04,0.001855,97.4411,263.8058,4.3905,-0.000425,-0.0009,0.6729,0.0115,small,4.3905,True,da=+4.39km[small]
54694,OBJECT N,2024-07-09 07:53:36.069216+00:00,2024-07-09 17:38:16.445184+00:00,9.74,6892.771,514.63,0.001457,97.6099,333.2913,4.382,-7.7e-05,0.0326,0.4336,0.0249,small,4.382,True,da=+4.38km[small] | di=+0.0326deg
51841,OBJECT T,2024-07-01 10:43:56.143776+00:00,2024-07-01 20:26:06.637344+00:00,9.7,6861.348,483.21,0.001256,97.4326,257.6959,4.3736,0.000225,0.0023,0.3493,-0.0539,small,4.3736,True,da=+4.37km[small]
43194,ZHANGHENG-1,2024-11-05 04:56:19.723776+00:00,2024-11-05 17:34:31.180512+00:00,12.64,6878.92,500.78,0.000979,97.6267,95.4694,4.364,-0.000609,0.0003,0.5333,-0.0005,small,4.364,True,da=+4.36km[small]
44836,JILIN-01 GAOFEN 2B,2024-11-29 06:16:13.034208+00:00,2024-11-29 14:12:05.135040+00:00,7.93,6896.959,518.82,0.000363,97.5588,39.8759,4.3633,0.000623,-0.0003,0.327,-0.0021,small,4.3633,True,da=+4.36km[small]
54752,SHIYAN 21 (SY-21),2024-03-25 18:52:10.095744+00:00,2024-03-26 04:31:56.180352+00:00,9.66,6859.315,481.18,0.000522,35.9674,122.1075,4.3631,6.6e-05,-0.0045,-2.5277,-0.0133,small,4.3631,True,da=+4.36km[small]
59912,TIANQI 28,2024-06-15 10:28:07.507200+00:00,2024-06-16 13:05:35.199456+00:00,26.62,7226.494,848.36,0.001262,44.9753,278.0463,4.3337,-2.2e-05,0.0031,-5.0542,-0.0088,small,4.3337,True,da=+4.33km[small]
60249,GAOFEN 11-05,2024-08-13 20:54:54.259776+00:00,2024-08-16 20:39:52.337952+00:00,71.75,6827.309,449.17,0.029232,97.4746,296.6465,-4.2868,-0.000517,0.0002,3.0558,-0.0065,small,4.2868,True,da=-4.29km[small]
59808,OBJECT D,2024-05-29 18:13:38.214048+00:00,2024-05-30 03:49:38.296992+00:00,9.6,6871.872,493.74,0.001069,97.4713,221.6313,4.269,-0.00055,-0.0002,0.3961,-0.0027,small,4.269,True,da=+4.27km[small]
52908,YAOGAN-35 02B,2024-11-05 12:04:36.069600+00:00,2024-11-09 04:10:59.643552+00:00,88.11,6870.065,491.93,0.000611,34.9955,228.9655,4.2673,0.0003,-0.0003,-23.0858,-0.0069,small,4.2673,True,da=+4.27km[small]
57890,YAOGAN-39 02C,2024-10-22 17:10:35.852736+00:00,2024-10-23 10:59:40.062048+00:00,17.82,6872.224,494.09,0.000115,34.996,29.1861,4.2604,0.000308,0.0031,-4.6631,-0.0011,small,4.2604,True,da=+4.26km[small]
43146,LKW-3,2024-11-02 02:39:29.558592+00:00,2024-11-02 10:32:21.810048+00:00,7.88,6872.352,494.21,0.00029,97.5913,82.9018,4.2599,0.000101,0.0005,0.3315,-0.001,small,4.2599,True,da=+4.26km[small]
46458,JILIN-01 GAOFEN 3F,2024-12-11 21:14:49.469856+00:00,2024-12-13 12:28:18.746688+00:00,39.22,6848.571,470.43,0.001613,97.3098,28.336,4.2597,0.000447,-0.0006,1.6091,-0.0043,small,4.2597,True,da=+4.26km[small]
53761,YAOGAN-35 05B,2024-09-27 20:38:25.575936+00:00,2024-09-28 13:57:16.784064+00:00,17.31,6873.251,495.11,0.000991,34.9928,327.4317,4.2518,-0.000534,0.0001,-4.5323,-0.0041,small,4.2518,True,da=+4.25km[small]
49007,OBJECT E,2024-07-07 22:43:17.069376+00:00,2024-07-08 09:45:50.801472+00:00,11.04,6874.352,496.21,0.001307,97.3941,251.4854,4.2516,0.000297,0.0005,0.4497,-0.0037,small,4.2516,True,da=+4.25km[small]
52448,JILIN-01 GAOFEN 3D 31,2024-07-04 11:27:04.874400+00:00,2024-07-05 12:37:08.634432+00:00,25.17,6869.269,491.13,0.001418,97.5865,265.2285,4.2454,-0.000458,0.0112,1.0766,0.0129,small,4.2454,True,da=+4.25km[small]
51844,OBJECT W,2024-07-10 22:50:39.109056+00:00,2024-07-11 16:13:32.341728+00:00,17.38,6878.563,500.43,0.001814,97.4349,266.9078,4.236,-0.000251,-0.0035,0.7198,0.0039,small,4.236,True,da=+4.24km[small]
59510,SUPERVIEW NEO-3 01,2024-11-05 11:01:12.765792+00:00,2024-11-06 02:48:23.753376+00:00,15.79,6874.43,496.29,0.000176,97.4709,24.7443,4.2359,-1.1e-05,-0.0006,0.6523,-0.0025,small,4.2359,True,da=+4.24km[small]
49390,YAOGAN-35 A,2024-11-13 07:18:09.842112+00:00,2024-11-13 08:52:35.815008+00:00,1.57,6872.63,494.49,0.000491,34.994,326.3717,4.2326,-0.000388,-0.0019,-0.4114,0.0003,small,4.2326,True,da=+4.23km[small]
58555,HONGHU 2,2024-08-05 08:20:07.932192+00:00,2024-08-06 23:34:51.106080+00:00,39.25,6839.955,461.82,0.003757,97.2534,220.6271,4.2236,4.1e-05,-0.0009,1.6071,-0.0018,small,4.2236,True,da=+4.22km[small]
59808,OBJECT D,2024-08-02 03:36:01.356480+00:00,2024-08-02 08:53:55.266720+00:00,5.3,6871.76,493.62,0.000897,97.4691,285.681,4.2204,-0.000461,-0.0008,0.2425,0.0225,small,4.2204,True,da=+4.22km[small]
53449,OBJECT F,2024-07-10 21:18:20.539008+00:00,2024-07-11 05:26:37.019040+00:00,8.14,6875.596,497.46,0.000615,97.5242,292.2985,4.2085,-1.1e-05,0.0017,0.3346,-0.0052,small,4.2085,True,da=+4.21km[small]
58555,HONGHU 2,2024-01-20 02:08:59.733600+00:00,2024-01-21 12:22:24.053952+00:00,34.22,6861.361,483.22,0.002995,97.2617,29.0945,4.2064,-0.000138,-0.0028,1.3871,-0.0021,small,4.2064,True,da=+4.21km[small]
57004,OBJECT A,2024-12-24 15:54:03.675456+00:00,2024-12-24 22:13:19.284096+00:00,6.32,6882.428,504.29,0.000985,97.4791,100.6918,4.2057,-9.2e-05,-0.0007,0.267,0.0056,small,4.2057,True,da=+4.21km[small]
58652,SHIYAN 24C 03,2024-04-23 11:58:04.703520+00:00,2024-04-23 18:24:08.781120+00:00,6.43,6962.955,584.82,0.000171,97.337,117.2215,4.2019,0.00056,0.0007,0.2487,-0.002,small,4.2019,True,da=+4.20km[small]
