NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
10520,1977-119A,COSMOS 968,775.4
10521,1977-119B,SL-8 R/B,757.7
10676,1978-019A,COSMOS 990,774.9
10677,1978-019B,SL-8 R/B,760.0
10693,1978-022B,SL-8 R/B,979.3
10702,1978-026A,LANDSAT 3,911.4
10703,1978-026B,OSCAR 8,901.7
10704,1978-026C,DELTA 1 R/B,942.0
10777,1978-034B,SL-8 R/B,979.1
10820,1978-042A,OPS 6182 (DMSP 5D-1 F2),772.3
10961,1978-063A,COSMOS 1023,773.7
10962,1978-063B,SL-8 R/B,756.3
10967,1978-064A,SEASAT 1,745.3
10974,1978-067B,SL-14 R/B,605.0
10992,1978-074B,SL-8 R/B,977.4
11060,1978-096A,TIROS N,834.7
11080,1978-098A,NIMBUS 7,955.1
11081,1978-098B,DELTA 1 R/B(+CAMEO),949.5
11111,1978-105A,COSMOS 1048,781.4
11112,1978-105B,SL-8 R/B,769.7
11165,1978-121A,COSMOS 1066,859.4
11166,1978-121B,SL-3 R/B,852.0
11267,1979-011B,SL-14 R/B,599.1
11288,1979-021A,METEOR 2-4,858.6
11289,1979-021B,SL-3 R/B,859.4
11309,1979-026B,SL-8 R/B,979.8
11321,1979-028B,SL-8 R/B,982.4
11379,1979-046B,SL-8 R/B,979.0
11389,1979-050A,OPS 5390,801.2
11416,1979-057A,NOAA 6,780.7
11425,1979-060A,COSMOS 1110,784.9
11427,1979-060B,SL-8 R/B,769.5
11510,1979-078A,COSMOS 1125,785.2
11511,1979-078B,SL-8 R/B,771.3
11573,1979-089A,COSMOS 1140,773.6
11574,1979-089B,SL-8 R/B,757.8
11586,1979-090B,SL-8 R/B,973.5
11605,1979-095A,METEOR 2-5,875.2
11608,1979-095B,SL-3 R/B,878.4
11672,1980-005B,SL-14 R/B,602.1
11751,1980-026B,SL-8 R/B,980.5
11788,1980-034A,COSMOS 1176,924.8
11804,1980-039B,SL-8 R/B,983.2
11869,1980-056A,COSMOS 1190,783.5
11870,1980-056B,SL-8 R/B,771.0
11962,1980-073A,METEOR 2-6,862.6
11963,1980-073B,SL-3 R/B,866.0
11971,1980-034D,COSMOS 1176 FUEL CORE,911.6
12139,1981-003B,SL-8 R/B,537.9
12319,1981-021A,COSMOS 1249,947.1
12409,1981-037A,COSMOS 1266,933.7
12435,1981-037D,COSMOS 1266 FUEL CORE,924.6
12442,1981-041A,COSMOS 1269,788.5
12443,1981-041B,SL-8 R/B,778.8
12456,1981-043A,METEOR 2-7,863.0
12457,1981-043B,SL-3 R/B,874.5
12465,1981-046B,SL-3 R/B,446.1
12551,1981-021C,COSMOS 1249 FUEL CORE,933.9
12553,1981-059A,NOAA 7,840.0
12586,1981-065B,SL-3 R/B,472.3
12645,1981-075A,INTERCOSMOS 22 (BULGARIA 1300),836.0
12646,1981-075B,SL-3 R/B,844.6
12682,1981-077B,SL-8 R/B,975.0
12783,1981-081A,COSMOS 1299,951.5
12786,1981-082B,SL-14 R/B,614.0
12791,1981-084A,COSMOS 1302,782.1
12792,1981-084B,SL-8 R/B,768.9
12803,1981-087A,COSMOS 1304,943.4
12804,1981-087B,SL-8 R/B,936.6
12808,1981-081C,COSMOS 1299 FUEL CORE,940.5
12836,1981-091B,SL-8 R/B,982.4
12904,1981-103B,SL-3 R/B,508.2
12987,1981-117A,COSMOS 1328,470.1
12988,1981-117B,SL-14 R/B,613.6
13027,1982-001A,COSMOS 1331,773.3
13028,1982-001B,SL-8 R/B,766.0
13068,1982-013B,SL-3 R/B,506.5
13113,1982-025A,METEOR 2-8,951.3
13114,1982-025B,SL-14 R/B,954.1
13121,1982-027B,SL-3 R/B,487.1
13148,1982-037A,COSMOS 1354,789.6
13149,1982-037B,SL-8 R/B,776.6
13154,1982-039B,SL-3 R/B,542.8
13172,1982-041C,OPS 6553,556.8
13175,1982-043A,COSMOS 1365,936.5
13241,1982-051A,COSMOS 1371,790.2
13242,1982-051B,SL-8 R/B,774.4
13243,1982-052A,COSMOS 1372,949.5
13259,1982-055A,COSMOS 1375,953.7
13272,1982-059B,SL-14 R/B,613.9
13403,1982-079B,SL-3 R/B,497.8
13416,1982-052D,COSMOS 1372 FUEL CORE,935.9
13553,1982-092B,SL-14 R/B,615.5
13594,1982-043D,COSMOS 1365 FUEL CORE,924.6
13600,1982-099A,COSMOS 1412,948.5
13648,1982-109A,COSMOS 1420,783.0
13649,1982-109B,SL-8 R/B,770.2
13653,1982-099E,COSMOS 1412 FUEL CORE,935.3
13718,1982-116A,METEOR 2-9,846.3
13719,1982-116B,SL-3 R/B,848.8
13736,1982-118A,OPS 9845 (DMSP 5D-2 F6),797.3
13758,1983-001B,SL-8 R/B,974.0
13771,1983-003B,SL-3 R/B,467.9
13777,1983-004A,IRAS,897.9
13778,1983-004B,DELTA 1 R/B,867.6
13819,1983-010B,SL-3 R/B,432.7
13923,1983-022A,NOAA 8,799.6
13991,1983-031A,COSMOS 1452,785.6
13992,1983-031B,SL-8 R/B,773.7
14033,1983-037B,SL-14 R/B,617.0
14064,1983-044A,COSMOS 1461,465.5
14147,1983-061A,COSMOS 1470,439.5
14148,1983-061B,SL-14 R/B,618.6
14154,1983-063A,HILAT,770.1
14155,1983-063B,SCOUT G-1 R/B,753.5
14208,1983-075B,SL-3 R/B,456.7
14240,1983-079A,COSMOS 1486,782.7
14241,1983-079B,SL-8 R/B,773.8
14373,1983-099B,SL-14 R/B,616.8
14401,1983-103A,COSMOS 1503,788.5
14402,1983-103B,SL-8 R/B,774.4
14452,1983-109A,METEOR 2-10,808.1
14453,1983-109B,SL-3 R/B,814.2
14506,1983-113A,OPS 1294 (DMSP 5D-2 F7),799.6
14552,1983-122B,SL-14 R/B,618.0
14699,1984-013A,COSMOS 1536,500.7
14700,1984-013B,SL-14 R/B,618.8
14759,1984-019A,COSMOS 1538,783.9
14760,1984-019B,SL-8 R/B,775.0
14780,1984-021A,LANDSAT 5,561.5
14781,1984-021B,OSCAR 11 (UoSAT 2),603.3
14820,1984-027B,SL-14 R/B,617.6
15031,1984-056A,COSMOS 1570,790.1
15032,1984-056B,SL-8 R/B,778.5
15071,1984-065C,USA 3,533.0
15078,1984-067B,SL-8 R/B,979.6
15085,1984-069A,COSMOS 1579,949.1
15099,1984-072A,METEOR 2-11,952.4
15100,1984-072B,SL-14 R/B,955.0
15330,1984-069D,COSMOS 1579 FUEL CORE,936.1
15331,1984-105A,COSMOS 1602,309.7
15332,1984-105B,SL-14 R/B,618.0
15333,1984-106A,COSMOS 1603,851.1
15334,1984-106B,SL-12 R/B(2),847.3
15335,1984-106C,SL-12 R/B(AUX MOTOR),822.0
15338,1984-106F,SL-12 R/B(AUX MOTOR),835.0
