t,d,lonP,lonS
2024-04-14 00:00:00+00:00,178.743960083753,173.25584067679824,173.01602368523038
2024-04-14 06:00:00+00:00,223.27547186744735,173.31110112150384,173.00784193832806
2024-04-14 12:00:00+00:00,159.8681266154645,173.20574424905487,172.99188339060942
2024-04-14 18:00:00+00:00,113.69568296368308,173.14679829251645,172.99251998215152
2024-04-15 00:00:00+00:00,184.30866010477106,173.2529009507606,173.00540794536954
2024-04-15 06:00:00+00:00,227.81707927246376,173.3069008955797,172.9974838031015
2024-04-15 12:00:00+00:00,163.44227584404373,173.20100379595397,172.9821915511797
2024-04-15 18:00:00+00:00,118.67531657745575,173.1435530685668,172.98253381464986
2024-04-16 00:00:00+00:00,190.01683397620366,173.25028797825905,172.99492446139072
2024-04-16 06:00:00+00:00,232.3612629390694,173.30319497445464,172.98761796339608
2024-04-16 12:00:00+00:00,167.18670966633408,173.19686576001607,172.9728733463137
2024-04-16 18:00:00+00:00,123.49331709933162,173.139995751127,172.97245308732641
2024-04-17 00:00:00+00:00,195.6523092067274,173.2474432705177,172.98431239991038
2024-04-17 06:00:00+00:00,236.81005142899463,173.29919850198547,172.9775907108111
2024-04-17 12:00:00+00:00,170.6728535708854,173.19262868552653,172.96381498152977
2024-04-17 18:00:00+00:00,128.53402539261157,173.13698731317083,172.96262092647976
2024-04-18 00:00:00+00:00,201.36894748022902,173.24465423581398,172.9736520282322
2024-04-18 06:00:00+00:00,241.34307637238072,173.29545616747237,172.96770353952377
2024-04-18 12:00:00+00:00,174.38444440133966,173.18863494190043,172.95469191742757
2024-04-18 18:00:00+00:00,133.3483712581254,173.1337652796949,172.9528828859934
2024-04-19 00:00:00+00:00,206.83054190989418,173.2417758802843,172.9632558396171
2024-04-19 06:00:00+00:00,245.91585030890744,173.29193567925108,172.95797554726687
2024-04-19 12:00:00+00:00,178.08752028539706,173.1849612229031,172.94589957219188
2024-04-19 18:00:00+00:00,138.3894423694099,173.13069973660106,172.9429928751639
2024-04-20 00:00:00+00:00,212.50956585037932,173.2391247099825,172.95279463787728
2024-04-20 06:00:00+00:00,250.36087970925698,173.28844895959566,172.9484739617991
2024-04-20 12:00:00+00:00,181.82191438118423,173.18147864004146,172.93725991052492
2024-04-20 18:00:00+00:00,143.41294956742823,173.1279512956704,172.93344393360337
2024-04-21 00:00:00+00:00,218.09372730898156,173.23651366792456,172.9425031911528
2024-04-21 06:00:00+00:00,254.84274968434892,173.28532963080363,172.9392816717675
2024-04-21 12:00:00+00:00,185.61787076748348,173.17864842463717,172.92919140265798
2024-04-21 18:00:00+00:00,148.45652018643457,173.125898409782,172.9245633288732
2024-04-22 00:00:00+00:00,223.6932180102706,173.2347215350896,172.93301403422186
2024-04-22 06:00:00+00:00,259.1961503282705,173.28294952250292,172.93100109416025
2024-04-22 12:00:00+00:00,189.20085059763048,173.17622884388533,172.92182452048462
2024-04-22 18:00:00+00:00,153.46057139984185,173.12451156715554,172.91640246814939
2024-04-23 00:00:00+00:00,229.30834916430115,173.23395548653332,172.92453226979455
2024-04-23 06:00:00+00:00,263.81074940854705,173.28168762104838,172.92348544417337
2024-04-23 12:00:00+00:00,193.10402872680416,173.17537058702692,172.9155820686409
2024-04-23 18:00:00+00:00,158.61798639075292,173.12428308762867,172.90919078031072
2024-04-24 00:00:00+00:00,234.87606042863518,173.23401018809977,172.91693655517668
2024-04-24 06:00:00+00:00,268.1404033591344,173.28124554737298,172.91717810310672
2024-04-24 12:00:00+00:00,196.7855486558004,173.17532376946957,172.9104514911445
2024-04-24 18:00:00+00:00,163.60356730604258,173.12532904934335,172.9034873890422
2024-04-25 00:00:00+00:00,240.60177249726638,173.23550429951644,172.91057039534252
2024-04-25 06:00:00+00:00,272.59155328699825,173.2821801992303,172.9120830272317
2024-04-25 12:00:00+00:00,200.50759705076936,173.17663540747435,172.906631518312
2024-04-25 18:00:00+00:00,168.9644374675246,173.12802050202174,172.8989195106991
2024-04-26 00:00:00+00:00,246.33170110143004,173.23875759083887,172.9059596841172
